Category,value
Apache,537
Cochise,454
Coconino,407
Gila,300
Graham,153
Greenlee,27
La Paz,105
Maricopa,"13,482"
Mohave,"1,143"
Navajo,735
Pima,"3,098"
Pinal,"1,278"
Santa Cruz,204
Yavapai,929
Yuma,964
Female,9853
Male,13950
20-44y,1294
45-54y,1855
55-64y,3756
65+,16859
<20y,52
"White, non-Hispanic",12309
Hispanic or Latino,6526
"American Indian or Alaska Native, non-Hispanic",1762
"Black or African American, non-Hispanic",726
"Asian or Pacific Islander, non-Hispanic",295
Other Race,664
Unknown,1534
