date,pcr_tests,pcr_pos_test,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity
2021-09-20 00:00:00,131,6,0.0458015267175573,,,
2021-09-19 00:00:00,3368,437,0.129750593824228,126,65,0.515873015873016
2021-09-18 00:00:00,6422,879,0.1368732482092806,248,123,0.495967741935484
2021-09-17 00:00:00,12002,1289,0.107398766872188,805,435,0.5403726708074534
2021-09-16 00:00:00,13840,1408,0.1017341040462428,853,449,0.526377491207503
2021-09-15 00:00:00,14366,1541,0.1072671585688431,902,448,0.4966740576496674
2021-09-14 00:00:00,15000,1595,0.1063333333333333,1057,547,0.5175023651844844
2021-09-13 00:00:00,16147,1864,0.1154394005078343,902,459,0.508869179600887
2021-09-12 00:00:00,7911,1007,0.1272911136392365,155,69,0.4451612903225807
2021-09-11 00:00:00,9499,1267,0.133382461311717,279,139,0.4982078853046596
2021-09-10 00:00:00,14809,1671,0.1128367884394625,835,474,0.5676646706586826
2021-09-09 00:00:00,15474,1660,0.1072767222437637,916,469,0.5120087336244542
2021-09-08 00:00:00,17041,1958,0.1148993603661757,853,445,0.5216881594372802
2021-09-07 00:00:00,17596,2094,0.1190043191634463,886,491,0.554176072234763
2021-09-06 00:00:00,7598,1045,0.1375361937351935,274,135,0.4927007299270074
2021-09-05 00:00:00,8304,1066,0.1283718689788054,159,85,0.5345911949685536
2021-09-04 00:00:00,9112,1219,0.1337796312554873,244,130,0.5327868852459018
2021-09-03 00:00:00,13737,1629,0.1185848438523695,874,437,0.5
2021-09-02 00:00:00,15377,1635,0.1063276321779281,923,489,0.5297941495124594
2021-09-01 00:00:00,15904,1835,0.1153797786720322,947,517,0.545934530095037
2021-08-31 00:00:00,17773,1855,0.1043717999212288,1020,512,0.5019607843137256
2021-08-30 00:00:00,18635,2115,0.1134961094714248,976,512,0.5245901639344264
2021-08-29 00:00:00,8870,1124,0.1267192784667418,210,106,0.5047619047619047
2021-08-28 00:00:00,10720,1290,0.1203358208955224,370,192,0.518918918918919
2021-08-27 00:00:00,17754,1740,0.0980060831361947,908,476,0.5242290748898678
2021-08-26 00:00:00,18072,1862,0.1030323151837096,1049,594,0.5662535748331744
2021-08-25 00:00:00,19133,2053,0.1073015209324204,1142,641,0.5612959719789844
2021-08-24 00:00:00,19681,1878,0.0954219805904172,1165,627,0.5381974248927038
2021-08-23 00:00:00,20750,2133,0.1027951807228916,1102,577,0.5235934664246824
2021-08-22 00:00:00,9772,1106,0.1131805157593123,248,132,0.532258064516129
2021-08-21 00:00:00,11276,1248,0.1106775452288046,397,192,0.4836272040302268
2021-08-20 00:00:00,18772,1899,0.1011613040698913,1029,568,0.5519922254616132
2021-08-19 00:00:00,19770,1981,0.1002023267577137,1001,555,0.5544455544455544
2021-08-18 00:00:00,20318,2030,0.099911408603209,1004,523,0.5209163346613546
2021-08-17 00:00:00,21140,2079,0.0983443708609272,1060,559,0.5273584905660378
2021-08-16 00:00:00,22206,2238,0.1007835720075655,979,525,0.5362614913176712
2021-08-15 00:00:00,10107,1220,0.1207084199069952,220,105,0.4772727272727274
2021-08-14 00:00:00,10716,1294,0.1207540126913027,339,181,0.5339233038348082
2021-08-13 00:00:00,16495,1852,0.1122764474083055,896,476,0.53125
2021-08-12 00:00:00,16913,1825,0.1079051617099273,911,464,0.5093304061470912
2021-08-11 00:00:00,16993,1991,0.1171658918378156,996,527,0.5291164658634538
2021-08-10 00:00:00,17127,1918,0.1119869212354762,955,479,0.5015706806282724
2021-08-09 00:00:00,17339,2117,0.1220946998096776,877,473,0.539338654503991
2021-08-08 00:00:00,7556,1052,0.1392271042879831,194,107,0.5515463917525774
2021-08-07 00:00:00,8580,1187,0.1383449883449884,314,157,0.5
2021-08-06 00:00:00,12424,1624,0.1307147456535737,833,379,0.454981992797119
2021-08-05 00:00:00,12789,1701,0.1330049261083744,748,342,0.4572192513368984
2021-08-04 00:00:00,12133,1682,0.1386301821478612,788,354,0.4492385786802031
2021-08-03 00:00:00,12652,1683,0.1330224470439456,779,320,0.4107830551989731
2021-08-02 00:00:00,12384,1849,0.1493055555555556,701,358,0.5106990014265336
2021-08-01 00:00:00,6352,1011,0.1591624685138539,171,71,0.4152046783625731
2021-07-31 00:00:00,6478,933,0.1440259339302254,248,132,0.532258064516129
2021-07-30 00:00:00,9823,1384,0.1408938206250636,650,289,0.4446153846153847
2021-07-29 00:00:00,9826,1375,0.1399348666802361,642,303,0.47196261682243
2021-07-28 00:00:00,9379,1368,0.1458577673525962,576,270,0.46875
2021-07-27 00:00:00,8769,1238,0.1411791538373817,550,255,0.4636363636363636
