date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,111,95,53,59,48,1
1/10/2021,268,207,156,152,179,7
1/11/2021,285,227,182,170,194,7
1/12/2021,305,242,205,197,239,8
1/13/2021,314,251,211,206,407,8
1/14/2021,325,262,220,217,569,8
1/15/2021,341,276,231,225,735,9
1/16/2021,347,278,231,225,740,9
1/17/2021,348,279,231,226,744,9
1/18/2021,350,284,233,231,750,9
1/19/2021,355,293,235,236,793,9
1/2/2021,111,95,53,60,49,2
1/20/2021,375,308,256,256,1121,11
1/21/2021,391,329,274,273,1436,11
1/22/2021,421,361,311,300,1851,13
1/23/2021,427,366,312,302,1859,13
1/24/2021,427,368,312,304,1861,13
1/25/2021,443,378,329,323,1886,13
1/26/2021,467,395,346,345,2184,15
1/27/2021,487,415,361,370,2249,17
1/28/2021,511,441,402,446,2539,17
1/29/2021,567,504,494,522,2704,18
1/3/2021,113,97,53,61,50,2
1/30/2021,590,518,507,542,2714,18
1/31/2021,602,525,512,555,2723,18
1/4/2021,132,112,63,75,56,3
1/5/2021,159,122,81,87,66,3
1/6/2021,190,154,104,110,74,4
1/7/2021,214,173,121,123,159,5
1/8/2021,265,204,153,150,178,6
1/9/2021,268,205,155,151,179,6
12/17/2020,5,,1,2,,
12/18/2020,6,3,2,3,,
12/19/2020,6,6,2,3,1,
12/20/2020,6,6,2,3,1,
12/21/2020,7,7,2,3,2,
12/22/2020,23,14,8,12,11,
12/23/2020,30,24,10,16,14,
12/24/2020,41,28,14,20,16,
12/25/2020,41,28,14,20,16,
12/26/2020,45,30,14,20,16,
12/27/2020,45,30,14,20,16,
12/28/2020,57,42,24,24,21,
12/29/2020,78,63,34,32,22,
12/30/2020,96,80,42,48,33,1
12/31/2020,111,95,53,59,45,1
2/1/2021,619,538,534,576,2756,18
2/10/2021,891,846,994,1212,3692,27
2/11/2021,929,893,1093,1325,3831,27
2/12/2021,953,981,1231,1407,3938,27
2/13/2021,1013,1079,1370,1488,4027,33
2/14/2021,1083,1152,1479,1561,4121,40
2/15/2021,1100,1159,1489,1577,4162,40
2/16/2021,1111,1163,1498,1588,4191,42
2/17/2021,1116,1165,1501,1589,4207,42
2/18/2021,1119,1165,1501,1590,4221,42
2/19/2021,1121,1166,1501,1594,4227,42
2/2/2021,668,591,622,690,2974,18
2/20/2021,1124,1169,1503,1597,4237,42
2/21/2021,1124,1169,1504,1597,4243,42
2/22/2021,1128,1170,1508,1598,4260,42
2/23/2021,1139,1177,1516,1603,4284,44
2/24/2021,1156,1190,1526,1623,4383,46
2/25/2021,1164,1199,1553,1635,4455,47
2/26/2021,1187,1227,1570,1658,4584,48
2/27/2021,1193,1228,1575,1674,4620,49
2/28/2021,1195,1230,1576,1677,4657,49
2/3/2021,678,601,639,698,3012,20
2/4/2021,724,657,742,811,3160,22
2/5/2021,792,752,852,960,3298,23
2/6/2021,797,753,856,964,3305,23
2/7/2021,799,753,857,965,3310,23
2/8/2021,808,758,861,975,3338,25
2/9/2021,861,815,912,1084,3540,27
3/1/2021,1207,1244,1595,1694,4734,50
3/10/2021,1462,1464,1852,2107,6197,72
3/11/2021,1496,1485,1875,2172,6299,72
3/12/2021,1525,1506,1896,2217,6387,73
3/13/2021,1543,1519,1912,2249,6405,74
3/14/2021,1571,1571,1956,2349,6569,78
3/15/2021,1588,1580,1975,2389,6618,80
3/16/2021,1651,1638,2071,2669,6811,90
3/17/2021,1818,1739,2221,2808,7013,100
3/18/2021,1899,1859,2429,2941,7186,103
3/19/2021,2084,1987,2600,3128,7369,117
3/2/2021,1240,1278,1635,1740,4965,54
3/20/2021,2098,1993,2608,3153,7395,118
3/21/2021,2111,2001,2616,3179,7408,122
3/22/2021,2150,2026,2655,3241,7452,125
3/23/2021,2297,2126,2759,3414,7635,144
3/24/2021,2460,2204,2878,3607,7748,159
3/25/2021,2606,2327,2975,3783,7828,193
3/26/2021,2795,2440,3098,3907,7921,227
3/27/2021,2817,2452,3113,3940,7944,236
3/28/2021,2832,2456,3120,3952,7945,240
3/29/2021,2875,2484,3152,3988,7967,250
3/3/2021,1309,1349,1729,1835,5353,58
3/30/2021,3068,2592,3260,4079,8058,276
3/31/2021,3154,2633,3311,4119,8083,300
3/4/2021,1334,1372,1753,1891,5651,61
3/5/2021,1365,1400,1789,1934,5855,63
3/6/2021,1384,1410,1795,1956,5888,65
3/7/2021,1392,1413,1799,1967,5904,66
3/8/2021,1411,1428,1816,2011,5961,67
3/9/2021,1428,1440,1836,2054,6057,69
4/1/2021,3317,2722,3402,4217,8200,329
4/10/2021,4592,3424,4114,4936,8604,723
4/11/2021,4605,3431,4119,4939,8606,731
4/12/2021,4701,3485,4154,4975,8638,754
4/13/2021,4779,3545,4200,5009,8660,777
4/14/2021,4867,3616,4266,5047,8683,804
4/15/2021,4967,3668,4322,5085,8707,821
4/16/2021,5051,3724,4393,5121,8721,834
4/17/2021,5079,3735,4403,5131,8725,856
4/18/2021,5091,3739,4408,5135,8726,867
4/19/2021,5133,3766,4435,5156,8738,897
4/2/2021,3426,2782,3484,4296,8266,366
4/20/2021,5208,3803,4473,5179,8749,908
4/21/2021,5278,3854,4511,5205,8756,914
4/22/2021,5340,3908,4575,5237,8772,929
4/23/2021,5397,3942,4618,5274,8795,945
4/24/2021,5421,3958,4652,5291,8802,1221
4/25/2021,5427,3961,4657,5291,8802,1223
4/26/2021,5495,4004,4702,5312,8820,1465
4/27/2021,5575,4066,4752,5342,8838,1484
4/28/2021,5716,4201,4881,5394,8857,1516
4/29/2021,5796,4243,4921,5411,8877,1525
4/3/2021,3450,2795,3491,4307,8274,386
4/30/2021,5842,4282,4951,5436,8886,1534
4/4/2021,3460,2802,3499,4310,8275,396
4/5/2021,3586,2877,3571,4408,8337,451
4/6/2021,3797,2986,3682,4508,8394,500
4/7/2021,4016,3096,3813,4632,8445,560
4/8/2021,4244,3224,3903,4731,8495,625
4/9/2021,4435,3333,4014,4817,8541,680
5/1/2021,5863,4292,4963,5445,8889,1540
5/10/2021,6150,4475,5111,5534,8942,1606
5/11/2021,6168,4478,5121,5545,8949,1611
5/12/2021,6204,4502,5146,5554,8966,1793
5/13/2021,6291,4581,5203,5568,8977,1805
5/14/2021,6331,4616,5232,5582,8983,2275
5/15/2021,6344,4622,5234,5586,8985,2288
5/16/2021,6351,4624,5235,5593,8986,2297
5/17/2021,6397,4650,5263,5610,8997,2443
5/18/2021,6444,4690,5289,5629,9010,2627
5/19/2021,6481,4722,5311,5641,9019,2843
5/2/2021,5872,4297,4968,5448,8892,1542
5/20/2021,6532,4751,5331,5656,9038,2888
5/21/2021,6562,4773,5354,5666,9045,3093
5/22/2021,6579,4781,5368,5670,9048,3110
5/23/2021,6593,4788,5373,5674,9050,3111
5/24/2021,6625,4811,5396,5683,9056,3191
5/25/2021,6665,4828,5413,5689,9064,3239
5/26/2021,6696,4841,5424,5695,9066,3309
5/27/2021,6727,4864,5434,5697,9070,3373
5/28/2021,6738,4876,5441,5699,9071,3375
5/29/2021,6748,4880,5444,5700,9072,3385
5/3/2021,5915,4325,4986,5458,8899,1554
5/30/2021,6753,4881,5451,5703,9073,3386
5/31/2021,6762,4885,5453,5704,9073,3387
5/4/2021,5951,4354,5009,5463,8905,1568
5/5/2021,6009,4388,5035,5483,8916,1572
5/6/2021,6053,4411,5054,5501,8923,1581
5/7/2021,6114,4441,5086,5518,8934,1599
5/8/2021,6124,4451,5089,5522,8934,1602
5/9/2021,6129,4455,5095,5526,8934,1602
6/1/2021,6797,4902,5470,5712,9079,3396
6/10/2021,7049,5052,5565,5779,9118,3792
6/11/2021,7096,5065,5578,5784,9125,3853
6/12/2021,7102,5068,5579,5786,9130,3854
6/13/2021,7106,5070,5579,5786,9130,3857
6/14/2021,7119,5081,5583,5790,9133,3862
6/15/2021,7132,5092,5583,5795,9134,3871
6/16/2021,7147,5098,5588,5799,9137,3883
6/17/2021,7208,5134,5613,5813,9151,4005
6/18/2021,7227,5141,5619,5817,9156,4015
6/19/2021,7232,5143,5622,5817,9157,4022
6/2/2021,6828,4922,5488,5720,9082,3488
6/20/2021,7235,5143,5623,5818,9157,4024
6/21/2021,7345,5176,5625,5821,9160,4031
6/22/2021,7624,5261,5641,5826,9161,4057
6/23/2021,7649,5273,5650,5828,9161,4087
6/24/2021,7967,5391,5673,5833,9163,4122
6/25/2021,8047,5424,5683,5837,9166,4137
6/26/2021,8056,5433,5688,5846,9167,4145
6/27/2021,8061,5434,5690,5846,9168,4147
6/28/2021,8074,5440,5696,5848,9171,4153
6/29/2021,8102,5449,5703,5855,9177,4178
6/3/2021,6895,4956,5509,5734,9087,3588
6/30/2021,8117,5462,5707,5860,9180,4194
6/4/2021,6918,4975,5523,5742,9094,3608
6/5/2021,6926,4976,5527,5744,9096,3611
6/6/2021,6934,4982,5530,5746,9099,3613
6/7/2021,6949,4991,5536,5750,9101,3628
6/8/2021,6993,5025,5550,5768,9111,3726
6/9/2021,7030,5044,5560,5778,9117,3784
7/1/2021,8133,5471,5712,5861,9182,4219
7/10/2021,8296,5550,5759,5884,9201,4351
7/11/2021,8307,5551,5762,5884,9201,4352
7/12/2021,8324,5558,5767,5894,9204,4366
7/13/2021,8339,5563,5778,5896,9206,4397
7/14/2021,8346,5565,5778,5900,9209,4402
7/15/2021,8364,5572,5784,5901,9215,4412
7/16/2021,8380,5580,5796,5906,9215,4420
7/17/2021,8383,5585,5799,5910,9218,4429
7/18/2021,8389,5589,5800,5914,9218,4434
7/19/2021,8407,5598,5804,5916,9220,4449
7/2/2021,8157,5484,5719,5865,9186,4234
7/20/2021,8433,5608,5816,5919,9224,4493
7/21/2021,8459,5619,5822,5924,9226,4506
7/22/2021,8488,5632,5833,5935,9235,4552
7/23/2021,8501,5643,5842,5938,9237,4571
7/24/2021,8516,5647,5846,5943,9239,4587
7/25/2021,8523,5649,5850,5948,9239,4596
7/26/2021,8542,5659,5855,5950,9247,4613
7/27/2021,8571,5673,5862,5957,9255,4666
7/28/2021,8601,5684,5871,5963,9262,4732
7/29/2021,8643,5702,5884,5973,9270,4829
7/3/2021,8165,5493,5725,5867,9187,4238
7/30/2021,8668,5712,5895,5980,9271,4857
7/31/2021,8676,5715,5897,5981,9271,4866
7/4/2021,8168,5494,5725,5867,9187,4238
7/5/2021,8185,5502,5730,5868,9187,4249
7/6/2021,8210,5518,5738,5870,9189,4297
7/7/2021,8238,5526,5742,5871,9191,4316
7/8/2021,8263,5537,5748,5874,9198,4332
7/9/2021,8288,5547,5757,5883,9201,4339
8/1/2021,8687,5721,5900,5982,9273,4873
8/10/2021,9312,6009,6088,6071,9349,5416
8/11/2021,9343,6023,6094,6076,9354,5484
8/12/2021,9382,6034,6101,6088,9361,5562
8/13/2021,9412,6041,6111,6094,9365,5582
8/14/2021,9425,6041,6112,6098,9367,5599
8/15/2021,9431,6043,6116,6103,9367,5603
8/16/2021,9453,6052,6122,6110,9374,5608
8/17/2021,9485,6067,6134,6115,9377,5641
8/18/2021,9520,6074,6145,6120,9385,5692
8/19/2021,9548,6077,6156,6121,9390,5723
8/2/2021,8709,5728,5906,5995,9282,4883
8/20/2021,9567,6084,6162,6124,9392,5739
8/21/2021,9576,6089,6167,6126,9393,5760
8/22/2021,9578,6089,6169,6129,9394,5763
8/23/2021,9602,6095,6177,6138,9395,5769
8/24/2021,9620,6107,6187,6143,9398,5795
8/25/2021,9650,6117,6190,6151,9405,5855
8/26/2021,9790,6196,6249,6177,9426,5903
8/27/2021,9856,6238,6278,6195,9435,5989
8/28/2021,9864,6241,6282,6199,9437,5996
8/29/2021,9867,6242,6282,6199,9438,5997
8/3/2021,8756,5747,5918,6001,9292,4949
8/30/2021,9887,6247,6286,6204,9438,6012
8/31/2021,9902,6251,6290,6206,9440,6020
