Category,value
Apache,518
Cochise,418
Coconino,393
Gila,281
Graham,139
Greenlee,23
La Paz,105
Maricopa,"12,999"
Mohave,"1,068"
Navajo,694
Pima,"2,951"
Pinal,"1,204"
Santa Cruz,198
Yavapai,850
Yuma,938
Female,9406
Male,13360
20-44y,1226
45-54y,1752
55-64y,3545
65+,16206
<20y,50
"White, non-Hispanic",11780
Hispanic or Latino,6306
"American Indian or Alaska Native, non-Hispanic",1720
"Black or African American, non-Hispanic",697
"Asian or Pacific Islander, non-Hispanic",284
Other Race,633
Unknown,1359
