Category,value
Apache,581
Cochise,541
Coconino,453
Gila,357
Graham,171
Greenlee,31
La Paz,134
Maricopa,"15,661"
Mohave,"1,369"
Navajo,849
Pima,"3,626"
Pinal,"1,531"
Santa Cruz,224
Yavapai,"1,140"
Yuma,"1,122"
Female,11495
Male,16280
20-44y,1526
45-54y,2184
55-64y,4421
65+,19599
<20y,60
"White, non-Hispanic",14735
Hispanic or Latino,7399
"American Indian or Alaska Native, non-Hispanic",1931
"Black or African American, non-Hispanic",858
"Asian or Pacific Islander, non-Hispanic",321
Other Race,753
Unknown,1793
