date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,298,387,428,498,341,7
1/10/2021,450,556,639,748,804,12
1/11/2021,467,570,670,786,903,12
1/12/2021,487,594,699,833,1065,12
1/13/2021,505,625,742,878,1229,13
1/14/2021,539,655,791,943,1431,14
1/15/2021,564,700,829,1009,1664,15
1/16/2021,575,717,845,1049,1931,17
1/17/2021,576,720,845,1052,1955,17
1/18/2021,594,738,867,1082,2165,18
1/19/2021,613,755,899,1131,2348,19
1/2/2021,304,396,437,509,354,7
1/20/2021,646,783,923,1196,2622,20
1/21/2021,663,805,945,1230,2771,20
1/22/2021,692,827,974,1275,3013,20
1/23/2021,705,837,983,1295,3610,20
1/24/2021,705,843,992,1301,4142,20
1/25/2021,712,849,1003,1319,4396,21
1/26/2021,726,856,1011,1349,4751,22
1/27/2021,750,875,1037,1400,5164,23
1/28/2021,769,898,1069,1448,5693,23
1/29/2021,785,906,1084,1477,6072,23
1/3/2021,306,397,446,516,361,7
1/30/2021,790,911,1096,1496,6375,23
1/31/2021,793,913,1102,1509,6849,23
1/4/2021,326,424,477,563,423,8
1/5/2021,341,449,499,590,466,8
1/6/2021,381,484,538,655,536,9
1/7/2021,408,512,583,691,650,11
1/8/2021,439,544,623,732,755,12
1/9/2021,445,553,634,743,773,12
12/1/2020,,,,,1,
12/10/2020,,,,,1,
12/11/2020,,,,,1,
12/12/2020,,,,,1,
12/13/2020,,,,,1,
12/14/2020,,,,,1,
12/15/2020,,,,,1,
12/16/2020,,,1,,1,
12/17/2020,,,1,,1,
12/18/2020,,,1,1,1,
12/19/2020,,,1,1,1,
12/2/2020,,,,,1,
12/20/2020,,,1,1,1,
12/21/2020,1,,5,5,4,
12/22/2020,5,12,23,24,12,
12/23/2020,32,54,76,80,44,
12/24/2020,65,89,104,101,60,
12/25/2020,65,89,104,101,60,
12/26/2020,93,131,137,143,78,1
12/27/2020,99,140,151,153,99,2
12/28/2020,144,200,206,220,140,3
12/29/2020,205,270,301,317,197,4
12/3/2020,,,,,1,
12/30/2020,251,331,368,413,263,6
12/31/2020,296,384,420,487,315,6
12/4/2020,,,,,1,
12/5/2020,,,,,1,
12/6/2020,,,,,1,
12/7/2020,,,,,1,
12/8/2020,,,,,1,
12/9/2020,,,,,1,
2/1/2021,810,933,1120,1560,7256,24
2/10/2021,896,1029,1237,1786,10477,30
2/11/2021,899,1035,1249,1801,10702,31
2/12/2021,923,1062,1273,1843,11074,34
2/13/2021,925,1071,1278,1860,11299,34
2/14/2021,926,1072,1278,1867,11325,34
2/15/2021,936,1082,1296,1885,11483,35
2/16/2021,940,1087,1306,1905,11731,35
2/17/2021,953,1092,1312,1919,11994,35
2/18/2021,962,1106,1327,1937,12172,35
2/19/2021,965,1109,1329,1944,12256,35
2/2/2021,818,949,1137,1582,7662,25
2/20/2021,965,1109,1330,1948,12276,35
2/21/2021,965,1109,1330,1948,12299,35
2/22/2021,968,1110,1334,1956,12387,35
2/23/2021,970,1110,1335,1961,12462,35
2/24/2021,972,1116,1345,1982,12725,35
2/25/2021,977,1120,1358,2001,13046,35
2/26/2021,980,1126,1371,2019,13363,35
2/27/2021,990,1141,1380,2032,13576,35
2/28/2021,995,1144,1390,2043,13886,35
2/3/2021,836,964,1165,1629,8427,27
2/4/2021,848,978,1186,1663,8844,27
2/5/2021,863,989,1202,1686,9200,28
2/6/2021,868,991,1204,1690,9404,28
2/7/2021,868,999,1207,1701,9511,28
2/8/2021,868,1002,1210,1716,9670,29
2/9/2021,879,1015,1224,1738,9803,29
3/1/2021,1004,1150,1403,2056,14286,36
3/10/2021,1167,1312,1630,3032,19515,42
3/11/2021,1179,1325,1642,3223,20371,42
3/12/2021,1203,1344,1663,3374,21116,43
3/13/2021,1213,1361,1684,3519,21460,44
3/14/2021,1217,1371,1691,3578,21730,44
3/15/2021,1231,1381,1702,3701,22137,45
3/16/2021,1243,1385,1716,3830,22717,45
3/17/2021,1264,1400,1757,4025,23839,45
3/18/2021,1285,1421,1793,4181,24577,45
3/19/2021,1308,1442,1817,4433,25192,47
3/2/2021,1013,1160,1409,2069,14760,36
3/20/2021,1337,1467,1858,4717,25825,47
3/21/2021,1344,1470,1873,4882,26004,48
3/22/2021,1365,1493,1904,5232,26530,50
3/23/2021,1395,1514,1952,5602,26995,52
3/24/2021,1414,1541,2008,6116,27516,54
3/25/2021,1439,1576,2063,6551,27991,55
3/26/2021,1530,1667,2233,6918,28418,70
3/27/2021,1602,1721,2350,7178,28625,83
3/28/2021,1656,1759,2420,7301,28831,89
3/29/2021,1758,1849,2597,7659,29191,114
3/3/2021,1051,1181,1458,2155,15573,39
3/30/2021,1851,1933,2768,7978,29544,119
3/31/2021,1976,2046,2965,8311,30070,132
3/4/2021,1060,1189,1472,2208,16246,39
3/5/2021,1102,1239,1523,2381,16927,39
3/6/2021,1123,1279,1578,2491,17333,40
3/7/2021,1128,1279,1584,2583,17585,40
3/8/2021,1131,1286,1590,2713,17989,41
3/9/2021,1136,1296,1601,2850,18611,42
4/1/2021,2075,2129,3120,8605,30467,143
4/10/2021,2714,2647,3955,10173,32488,248
4/11/2021,2734,2670,3994,10254,32594,264
4/12/2021,2931,2868,4241,10560,32928,282
4/13/2021,2981,2907,4322,10687,33090,300
4/14/2021,3051,2944,4406,10813,33312,317
4/15/2021,3237,3105,4540,10947,33458,325
4/16/2021,3294,3146,4614,11060,33589,345
4/17/2021,3322,3177,4649,11109,33670,355
4/18/2021,3333,3186,4665,11131,33701,360
4/19/2021,3387,3210,4697,11230,33837,365
4/2/2021,2158,2215,3229,8816,30748,157
4/20/2021,3417,3251,4738,11319,33980,369
4/21/2021,3461,3291,4780,11398,34094,375
4/22/2021,3521,3328,4846,11518,34220,380
4/23/2021,3595,3372,4897,11630,34333,403
4/24/2021,3623,3402,4936,11673,34395,410
4/25/2021,3636,3407,4944,11691,34413,410
4/26/2021,3677,3436,4990,11756,34498,421
4/27/2021,3721,3457,5041,11833,34614,426
4/28/2021,3756,3473,5083,11915,34728,431
4/29/2021,3798,3504,5118,11997,34854,437
4/3/2021,2220,2257,3293,8925,30864,164
4/30/2021,3831,3542,5163,12098,34991,451
4/4/2021,2248,2273,3327,8969,30891,170
4/5/2021,2313,2329,3437,9169,31140,172
4/6/2021,2390,2370,3542,9379,31423,187
4/7/2021,2513,2473,3663,9622,31754,203
4/8/2021,2582,2538,3780,9823,32032,216
4/9/2021,2669,2616,3905,10049,32351,241
5/1/2021,3855,3560,5192,12142,35024,458
5/10/2021,4084,3744,5472,12591,35674,498
5/11/2021,4105,3774,5495,12652,35747,504
5/12/2021,4131,3796,5517,12695,35822,508
5/13/2021,4169,3817,5550,12747,35888,518
5/14/2021,4210,3841,5598,12808,35977,538
5/15/2021,4244,3863,5627,12863,36035,578
5/16/2021,4257,3871,5643,12880,36056,596
5/17/2021,4328,3946,5725,12983,36149,626
5/18/2021,4376,3975,5773,13044,36253,644
5/19/2021,4421,3998,5812,13116,36344,688
5/2/2021,3860,3568,5207,12152,35036,458
5/20/2021,4482,4037,5854,13192,36432,730
