date,inpatient_covid,inpatient_non_covid,inpatient_empty
2020-03-26,,3815,1828
2020-03-27,,4053,1913
2020-03-28,,3976,1970
2020-03-29,,4056,2240
2020-03-30,,4317,2214
2020-03-31,,4347,2175
2020-04-01,,4756,2147
2020-04-02,,4939,2254
2020-04-03,,4748,2335
2020-04-04,,4845,2227
2020-04-05,,4767,2300
2020-04-06,,4793,2378
2020-04-07,,4765,2347
2020-04-08,338,4196,2396
2020-04-09,519,3963,2360
2020-04-10,522,3913,2355
2020-04-11,508,3985,2414
2020-04-12,525,3972,2402
2020-04-13,580,4054,2578
2020-04-14,590,4063,2639
2020-04-15,578,4048,2482
2020-04-16,566,4112,2452
2020-04-17,613,4154,2357
2020-04-18,631,4077,2386
2020-04-19,637,4096,2354
2020-04-20,669,4124,2401
2020-04-21,664,4273,2299
2020-04-22,699,4376,2165
2020-04-23,639,4325,2280
2020-04-24,697,4341,2204
2020-04-25,671,4413,2133
2020-04-26,647,4415,2192
2020-04-27,737,4198,2328
2020-04-28,756,4461,2166
2020-04-29,755,4564,2036
2020-04-30,709,4471,2347
2020-05-01,718,4514,2245
2020-05-02,732,4441,2322
2020-05-03,693,4428,2379
2020-05-04,728,4337,2486
2020-05-05,754,4522,2263
2020-05-06,766,4611,2142
2020-05-07,730,4755,2131
2020-05-08,739,4869,2022
2020-05-09,713,4867,2024
2020-05-10,717,4776,2083
2020-05-11,765,4666,2206
2020-05-12,755,4878,1983
2020-05-13,781,4921,1948
2020-05-14,808,4949,1910
2020-05-15,789,4857,1978
2020-05-16,796,4887,1944
2020-05-17,797,4888,1950
2020-05-18,792,4687,2159
2020-05-19,810,4907,1922
2020-05-20,812,5031,1761
2020-05-21,794,5046,1769
2020-05-22,784,5093,1754
2020-05-23,816,4927,1861
2020-05-24,833,4888,1884
2020-05-25,818,4663,2169
2020-05-26,907,4682,2069
2020-05-27,945,4919,1782
2020-05-28,934,5150,1575
2020-05-29,975,5027,1694
2020-05-30,972,4903,1702
2020-05-31,976,4785,1798
2020-06-01,1009,4711,1842
2020-06-02,1088,4943,1543
2020-06-03,1079,5149,1339
2020-06-04,1233,4312,1609
2020-06-05,1278,4436,1447
2020-06-06,1252,4430,1485
2020-06-07,1266,4394,1506
2020-06-08,1243,4351,1594
2020-06-09,1274,5085,1293
2020-06-10,1291,5202,1276
2020-06-11,1336,4727,1214
2020-06-12,1412,5056,1237
2020-06-13,1457,5207,1290
2020-06-14,1449,5165,1335
2020-06-15,1506,4725,1437
2020-06-16,1582,4949,1146
2020-06-17,1667,4861,1155
2020-06-18,1832,4801,1202
2020-06-19,1938,4660,1238
2020-06-20,1942,4547,1296
2020-06-21,1992,4406,1376
2020-06-22,2136,4333,1353
2020-06-23,2270,4435,1120
2020-06-24,2453,4192,1132
2020-06-25,2655,4019,1097
2020-06-26,2577,4046,1111
2020-06-27,2691,3824,1149
2020-06-28,2721,3724,1209
2020-06-29,2793,3695,1180
2020-06-30,2876,3656,1140
2020-07-01,2938,3664,1065
2020-07-02,3013,3525,1135
2020-07-03,3113,3449,1122
2020-07-04,3182,3261,1237
2020-07-05,3212,3216,1239
2020-07-06,3356,3116,1457
2020-07-07,3421,3363,1152
2020-07-08,3437,3462,1057
2020-07-09,3432,3523,993
2020-07-10,3485,3540,946
2020-07-11,3432,3359,1102
2020-07-12,3373,3523,987
2020-07-13,3517,3204,1155
2020-07-14,3493,3330,1053
2020-07-15,3454,3418,1008
2020-07-16,3466,3360,1055
2020-07-17,3238,3531,1100
2020-07-18,3136,3668,1140
2020-07-19,3084,3728,1120
2020-07-20,3041,3595,1319
2020-07-21,3094,3550,1245
2020-07-22,2966,3761,1177
2020-07-23,2844,3834,1226
2020-07-24,2758,3878,1266
2020-07-25,2650,3963,1289
2020-07-26,2626,4007,1263
2020-07-27,2564,3822,1484
2020-07-28,2424,4119,1335
2020-07-29,2348,4211,1323
2020-07-30,2302,4310,1257
2020-07-31,2226,4410,1324
2020-08-01,2147,4458,1397
2020-08-02,2017,4528,1462
2020-08-03,2024,4463,1545
2020-08-04,1945,4587,1513
2020-08-05,1879,4810,1366
2020-08-06,1772,4886,1384
2020-08-07,1659,4895,1430
2020-08-08,1626,4829,1523
2020-08-09,1575,4823,1585
2020-08-10,1574,4749,1657
2020-08-11,1469,5007,1517
2020-08-12,1411,5122,1459
2020-08-13,1359,5246,1389
2020-08-14,1282,5374,1346
2020-08-15,1208,5257,1528
2020-08-16,1182,5339,1469
2020-08-17,1167,5344,1486
2020-08-18,1160,5342,1495
2020-08-19,1070,5535,1375
2020-08-20,1068,5553,1336
2020-08-21,1046,5584,1337
2020-08-22,969,5617,1376
2020-08-23,908,5576,1460
2020-08-24,999,5384,1550
2020-08-25,967,5657,1346
2020-08-26,895,5732,1330
2020-08-27,809,5869,1279
2020-08-28,812,5818,1315
2020-08-29,757,5719,1450
2020-08-30,768,5643,1518
2020-08-31,729,5706,1501
2020-09-01,752,5660,1528
2020-09-02,745,5764,1441
2020-09-03,742,5801,1415
2020-09-04,702,5916,1344
2020-09-05,666,5810,1474
2020-09-06,658,5721,1572
2020-09-07,657,5643,1658
2020-09-08,658,5652,1652
2020-09-09,628,5864,1472
2020-09-10,577,5940,1446
2020-09-11,574,5947,1427
2020-09-12,525,5874,1532
2020-09-13,489,5877,1561
2020-09-14,550,5802,1583
2020-09-15,538,6019,1379
2020-09-16,594,5991,1356
2020-09-17,516,6004,1409
2020-09-18,528,6022,1390
2020-09-19,472,6004,1457
2020-09-20,472,5909,1546
2020-09-21,527,5864,1545
2020-09-22,583,5866,1407
2020-09-23,565,5857,1434
2020-09-24,521,5928,1479
2020-09-25,509,5870,1518
2020-09-26,483,5848,1552
2020-09-27,468,5774,1650
2020-09-28,540,5719,1646
2020-09-29,560,5867,1483
2020-09-30,620,7379,1384
2020-10-01,586,7009,1364
2020-10-02,605,7394,1376
2020-10-03,545,7422,1402
2020-10-04,567,7337,1464
2020-10-05,665,7182,1525
2020-10-06,681,7292,1400
2020-10-07,728,7258,1409
2020-10-08,706,7364,1325
2020-10-09,685,6665,1369
2020-10-10,630,6762,1326
2020-10-11,667,6267,1457
2020-10-12,706,6544,1477
2020-10-13,711,6598,1335
2020-10-14,726,6640,1277
2020-10-15,747,6602,1289
2020-10-16,757,6326,1304
2020-10-17,714,6367,1307
2020-10-18,721,6491,1402
2020-10-19,777,6398,1442
2020-10-20,832,6598,1180
2020-10-21,848,6624,1148
2020-10-22,815,6609,1191
2020-10-23,819,6611,1175
2020-10-24,828,6486,1294
2020-10-25,837,6503,1281
2020-10-26,861,6417,1330
2020-10-27,871,6510,1221
2020-10-28,874,6530,1204
2020-10-29,900,6474,1239
2020-10-30,889,6484,1243
2020-10-31,875,6237,1282
2020-11-01,918,6115,1353
2020-11-02,956,6277,1363
2020-11-03,1065,6306,1250
2020-11-04,1100,6290,1225
2020-11-05,1082,6392,1141
2020-11-06,1139,6372,1120
2020-11-07,1185,6196,1224
2020-11-08,1232,6211,1150
2020-11-09,1289,6162,1155
2020-11-10,1360,6190,1061
2020-11-11,1368,6253,1016
2020-11-12,1381,6210,1033
2020-11-13,1470,6094,1051
2020-11-14,1506,6042,1050
2020-11-15,1557,5898,1152
2020-11-16,1624,5931,1127
2020-11-17,1700,5975,967
2020-11-18,1796,5921,931
2020-11-19,1835,5832,940
2020-11-20,1916,5788,944
2020-11-21,1932,5697,1021
2020-11-22,2008,5594,1071
2020-11-23,2084,5500,1093
2020-11-24,2217,5368,1082
2020-11-25,2289,5382,986
2020-11-26,2301,5041,1318
2020-11-27,2383,5055,1213
2020-11-28,2458,4964,1232
2020-11-29,2513,4968,1173
2020-11-30,2594,4926,1138
2020-12-01,2699,4872,1083
2020-12-02,2743,5016,901
2020-12-03,2899,4916,849
2020-12-04,2931,4874,861
2020-12-05,2977,4844,913
2020-12-06,3059,4704,893
2020-12-07,3157,4472,1035
2020-12-08,3287,4469,902
2020-12-09,3408,4373,880
2020-12-10,3482,4409,744
2020-12-11,3534,4319,768
2020-12-12,3622,4201,792
2020-12-13,3677,4129,811
2020-12-14,3702,4079,844
2020-12-15,3809,4040,689
2020-12-16,3884,4025,632
2020-12-17,3931,4005,618
2020-12-18,4014,3868,666
2020-12-19,3899,4005,641
2020-12-20,3925,3860,683
2020-12-21,4019,3707,742
2020-12-22,4163,3616,718
2020-12-23,4221,3579,711
2020-12-24,4226,3560,731
2020-12-25,4165,3430,906
2020-12-26,4190,3400,922
2020-12-27,4390,3272,847
2020-12-28,4475,3265,765
2020-12-29,4526,3288,698
2020-12-30,4564,3436,581
2020-12-31,4501,3522,559
2021-01-01,4484,3498,607
2021-01-02,4557,3402,630
2021-01-03,4647,3281,667
2021-01-04,4789,3149,666
2021-01-05,4877,3129,604
2021-01-06,4920,3084,594
2021-01-07,4907,3092,619
2021-01-08,4918,3105,633
2021-01-09,4988,2979,699
2021-01-10,4997,2981,686
2021-01-11,5082,2898,689
2021-01-12,5055,2917,667
2021-01-13,4930,3064,655
2021-01-14,4866,3105,672
2021-01-15,4849,3159,656
2021-01-16,4773,3163,719
2021-01-17,4752,3199,714
2021-01-18,4780,3178,708
2021-01-19,4663,3306,714
2021-01-20,4580,3407,692
2021-01-21,4495,3493,735
2021-01-22,4442,3466,815
2021-01-23,4320,3526,863
2021-01-24,4229,3598,867
2021-01-25,4221,3623,844
2021-01-26,4250,3643,805
2021-01-27,4087,3870,746
2021-01-28,3970,3921,818
2021-01-29,3828,4044,828
2021-01-30,3664,4179,866
2021-01-31,3654,4190,843
2021-02-01,3513,4289,887
2021-02-02,3456,4345,853
2021-02-03,3303,4569,797
