Category,value
Apache,581
Cochise,540
Coconino,453
Gila,357
Graham,170
Greenlee,31
La Paz,133
Maricopa,"15,631"
Mohave,"1,369"
Navajo,849
Pima,"3,623"
Pinal,"1,530"
Santa Cruz,225
Yavapai,"1,138"
Yuma,"1,121"
Female,11483
Male,16253
20-44y,1526
45-54y,2181
55-64y,4411
65+,19573
<20y,60
"White, non-Hispanic",14725
Hispanic or Latino,7400
"American Indian or Alaska Native, non-Hispanic",1929
"Black or African American, non-Hispanic",858
"Asian or Pacific Islander, non-Hispanic",321
Other Race,753
Unknown,1765
