date,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO
2022-02-21 00:00:00,2,0,0
2022-02-20 00:00:00,84,18,0.2142857142857143
2022-02-19 00:00:00,112,16,0.1428571428571429
2022-02-18 00:00:00,300,47,0.1566666666666667
2022-02-17 00:00:00,387,60,0.1550387596899225
2022-02-16 00:00:00,498,76,0.1526104417670683
2022-02-15 00:00:00,429,78,0.1818181818181818
2022-02-14 00:00:00,461,92,0.1995661605206074
2022-02-13 00:00:00,137,28,0.2043795620437956
2022-02-12 00:00:00,160,41,0.25625
2022-02-11 00:00:00,438,99,0.226027397260274
2022-02-10 00:00:00,477,93,0.1949685534591195
2022-02-09 00:00:00,574,119,0.2073170731707317
2022-02-08 00:00:00,612,143,0.2336601307189543
2022-02-07 00:00:00,718,165,0.2298050139275766
2022-02-06 00:00:00,172,42,0.2441860465116279
2022-02-05 00:00:00,204,51,0.25
2022-02-04 00:00:00,487,123,0.2525667351129364
2022-02-03 00:00:00,507,140,0.2761341222879685
2022-02-02 00:00:00,633,170,0.2685624012638231
2022-02-01 00:00:00,820,192,0.2341463414634147
2022-01-31 00:00:00,835,250,0.2994011976047904
2022-01-30 00:00:00,275,69,0.2509090909090909
2022-01-29 00:00:00,262,86,0.3282442748091603
2022-01-28 00:00:00,785,193,0.245859872611465
2022-01-27 00:00:00,984,268,0.2723577235772358
2022-01-26 00:00:00,1078,293,0.2717996289424861
2022-01-25 00:00:00,994,333,0.335010060362173
2022-01-24 00:00:00,1217,393,0.3229252259654889
2022-01-23 00:00:00,359,133,0.3704735376044569
2022-01-22 00:00:00,488,139,0.2848360655737705
2022-01-21 00:00:00,1056,331,0.3134469696969697
2022-01-20 00:00:00,1019,351,0.3444553483807655
2022-01-19 00:00:00,1183,425,0.3592561284868977
2022-01-18 00:00:00,1471,532,0.3616587355540449
2022-01-17 00:00:00,795,274,0.3446540880503145
2022-01-16 00:00:00,425,161,0.3788235294117648
2022-01-15 00:00:00,408,166,0.4068627450980392
2022-01-14 00:00:00,1187,380,0.3201347935973041
