date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,622,986,962,763,549,6
1/1/2022,41810,33383,34617,39783,81688,25946
1/10/2021,1162,1712,1779,1504,2336,16
1/10/2022,42335,33686,34880,40126,82173,27024
1/11/2021,1209,1794,1866,1571,2516,21
1/11/2022,42397,33705,34915,40160,82232,27166
1/12/2021,1296,1911,1992,1667,2803,21
1/12/2022,42463,33736,34942,40189,82269,27315
1/13/2021,1404,2053,2142,1845,3210,23
1/13/2022,42542,33768,34982,40239,82322,27432
1/14/2021,1503,2235,2303,1998,3734,24
1/14/2022,42633,33813,35018,40275,82365,27586
1/15/2021,1624,2394,2484,2132,4117,25
1/15/2022,42694,33838,35036,40299,82377,27744
1/16/2021,1683,2483,2586,2223,4742,27
1/16/2022,42713,33851,35044,40309,82384,27784
1/17/2021,1703,2512,2630,2259,4798,28
1/17/2022,42754,33873,35056,40326,82424,27873
1/18/2021,1774,2624,2712,2359,5028,30
1/18/2022,42821,33901,35079,40342,82454,27982
1/19/2021,1847,2701,2800,2448,5547,32
1/19/2022,42872,33928,35109,40372,82483,28066
1/2/2021,703,1103,1093,868,630,7
1/2/2022,41834,33399,34629,39804,81725,25973
1/20/2021,1925,2828,2908,2570,6325,37
1/20/2022,42922,33963,35135,40407,82520,28169
1/21/2021,2016,2962,3080,2741,7082,41
1/21/2022,42951,33988,35157,40430,82538,28273
1/22/2021,2163,3131,3268,2933,7845,44
1/22/2022,42966,33998,35169,40436,82544,28333
1/23/2021,2246,3299,3429,3093,8443,46
1/24/2021,2284,3333,3491,3123,8603,48
1/25/2021,2362,3406,3581,3250,9215,50
1/26/2021,2435,3489,3682,3367,9793,51
1/27/2021,2547,3615,3843,3561,10525,52
1/28/2021,2626,3728,3964,3712,11548,52
1/29/2021,2739,3850,4103,3898,12564,60
1/3/2021,731,1147,1141,892,653,8
1/3/2022,41891,33432,34663,39861,81803,26071
1/30/2021,2809,3939,4239,4055,13359,63
1/31/2021,2845,3961,4271,4083,13514,65
1/4/2021,794,1246,1233,982,885,9
1/4/2022,41958,33468,34696,39914,81889,26217
1/5/2021,888,1356,1324,1080,1121,10
1/5/2022,42026,33504,34723,39957,81953,26404
1/6/2021,1002,1483,1465,1209,1394,12
1/6/2022,42098,33536,34771,39995,82025,26548
1/7/2021,1065,1569,1578,1318,1732,15
1/7/2022,42190,33589,34806,40043,82086,26724
1/8/2021,1120,1651,1719,1455,2178,16
1/8/2022,42233,33617,34821,40067,82101,26871
1/9/2021,1152,1697,1764,1492,2315,16
1/9/2022,42258,33628,34829,40079,82113,26909
10/1/2021,36138,29918,31710,36937,76705,17934
10/10/2021,36835,30349,32011,37146,76959,18277
10/11/2021,36933,30417,32059,37176,77001,18339
10/12/2021,37012,30460,32092,37196,77025,18367
10/13/2021,37100,30505,32126,37213,77048,18399
10/14/2021,37178,30550,32158,37246,77069,18423
10/15/2021,37278,30608,32203,37285,77105,18471
10/16/2021,37346,30641,32232,37303,77120,18496
10/17/2021,37384,30671,32253,37316,77130,18511
10/18/2021,37459,30723,32297,37344,77169,18534
10/19/2021,37523,30757,32325,37374,77191,18576
10/2/2021,36189,29958,31744,36967,76720,17976
10/20/2021,37582,30799,32365,37407,77226,18597
10/21/2021,37671,30842,32399,37435,77255,18630
10/22/2021,37770,30905,32446,37470,77308,18662
10/23/2021,37843,30962,32478,37486,77341,18689
10/24/2021,37870,30978,32495,37495,77370,18705
10/25/2021,37941,31028,32542,37522,77450,18724
10/26/2021,38029,31083,32595,37545,77512,18766
10/27/2021,38121,31141,32643,37584,77582,18800
10/28/2021,38242,31202,32686,37629,77668,18825
10/29/2021,38341,31253,32740,37673,77721,18856
10/3/2021,36244,29988,31759,36978,76728,17994
10/30/2021,38404,31291,32772,37688,77744,18871
10/31/2021,38431,31309,32789,37699,77755,18884
10/4/2021,36331,30048,31804,37001,76783,18050
10/5/2021,36426,30097,31828,37032,76821,18096
10/6/2021,36535,30160,31877,37063,76862,18163
10/7/2021,36625,30213,31909,37089,76908,18194
10/8/2021,36727,30281,31955,37123,76932,18229
