date,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-01-03 00:00:00,1,0,0,,,
2021-01-02 00:00:00,52,14,0.2692307692307692,1.0,1.0,1
2021-01-01 00:00:00,155,23,0.1483870967741936,,,
2020-12-31 00:00:00,806,121,0.1501240694789082,9.0,2.0,0.2222222222222222
2020-12-30 00:00:00,466,92,0.1974248927038627,15.0,2.0,0.1333333333333333
2020-12-29 00:00:00,711,120,0.1687763713080169,20.0,3.0,0.15
2020-12-28 00:00:00,1097,162,0.1476754785779398,9.0,3.0,0.3333333333333333
2020-12-27 00:00:00,229,60,0.2620087336244542,1.0,0.0,0
2020-12-26 00:00:00,139,39,0.2805755395683453,1.0,1.0,1
2020-12-25 00:00:00,59,11,0.1864406779661017,,,
2020-12-24 00:00:00,597,72,0.1206030150753769,3.0,1.0,0.3333333333333333
2020-12-23 00:00:00,716,105,0.1466480446927374,10.0,3.0,0.3
2020-12-22 00:00:00,732,130,0.1775956284153006,8.0,1.0,0.125
2020-12-21 00:00:00,1092,121,0.1108058608058608,13.0,3.0,0.2307692307692308
2020-12-20 00:00:00,419,53,0.126491646778043,,,
2020-12-19 00:00:00,797,80,0.1003764115432873,1.0,0.0,0
2020-12-18 00:00:00,723,99,0.1369294605809129,8.0,3.0,0.375
2020-12-17 00:00:00,767,98,0.1277705345501956,13.0,3.0,0.2307692307692308
2020-12-16 00:00:00,522,104,0.1992337164750958,11.0,1.0,0.0909090909090909
2020-12-15 00:00:00,647,108,0.1669242658423493,17.0,3.0,0.1764705882352941
2020-12-14 00:00:00,1113,142,0.1275831087151842,19.0,5.0,0.2631578947368421
2020-12-13 00:00:00,303,47,0.1551155115511551,3.0,1.0,0.3333333333333333
2020-12-12 00:00:00,313,47,0.1501597444089457,,,
2020-12-11 00:00:00,543,89,0.1639042357274402,13.0,0.0,0
2020-12-10 00:00:00,772,112,0.1450777202072539,12.0,3.0,0.25
2020-12-09 00:00:00,788,137,0.1738578680203046,7.0,1.0,0.1428571428571429
2020-12-08 00:00:00,824,121,0.1468446601941748,11.0,2.0,0.1818181818181818
2020-12-07 00:00:00,818,116,0.1418092909535452,16.0,3.0,0.1875
2020-12-06 00:00:00,289,46,0.1591695501730104,2.0,1.0,0.5
2020-12-05 00:00:00,456,60,0.1315789473684211,1.0,0.0,0
2020-12-04 00:00:00,509,77,0.1512770137524558,20.0,0.0,0
2020-12-03 00:00:00,627,94,0.1499202551834131,25.0,6.0,0.24
2020-12-02 00:00:00,557,109,0.1956912028725314,10.0,3.0,0.3
2020-12-01 00:00:00,942,131,0.1390658174097665,11.0,2.0,0.1818181818181818
2020-11-30 00:00:00,769,112,0.1456436931079324,20.0,1.0,0.05
2020-11-29 00:00:00,221,47,0.2126696832579186,1.0,0.0,0
2020-11-28 00:00:00,416,62,0.1490384615384615,3.0,1.0,0.3333333333333333
2020-11-27 00:00:00,238,44,0.184873949579832,7.0,1.0,0.1428571428571429
2020-11-26 00:00:00,54,5,0.0925925925925926,,,
2020-11-25 00:00:00,457,53,0.1159737417943107,16.0,3.0,0.1875
2020-11-24 00:00:00,528,73,0.1382575757575758,21.0,2.0,0.0952380952380952
2020-11-23 00:00:00,624,69,0.1105769230769231,14.0,1.0,0.0714285714285714
2020-11-22 00:00:00,321,42,0.1308411214953271,,,
2020-11-21 00:00:00,678,71,0.1047197640117994,1.0,0.0,0
2020-11-20 00:00:00,403,63,0.1563275434243176,20.0,2.0,0.1
2020-11-19 00:00:00,385,74,0.1922077922077922,9.0,0.0,0
2020-11-18 00:00:00,458,67,0.1462882096069869,11.0,1.0,0.0909090909090909
2020-11-17 00:00:00,572,80,0.1398601398601399,8.0,0.0,0
