date,Arizona_cume,Arizona
2020-12-01 00:00:00,30,
2020-12-02 00:00:00,38,8
2020-12-03 00:00:00,44,6
2020-12-04 00:00:00,47,3
2020-12-05 00:00:00,48,1
2020-12-07 00:00:00,52,4
2020-12-08 00:00:00,55,3
2020-12-09 00:00:00,58,3
2020-12-10 00:00:00,61,3
2020-12-11 00:00:00,68,7
2020-12-12 00:00:00,72,4
2020-12-13 00:00:00,75,3
2020-12-14 00:00:00,82,7
2020-12-15 00:00:00,114,32
2020-12-16 00:00:00,670,556
2020-12-17 00:00:00,3736,3066
2020-12-18 00:00:00,7302,3566
2020-12-19 00:00:00,9852,2550
2020-12-20 00:00:00,10863,1011
2020-12-21 00:00:00,16324,5461
2020-12-22 00:00:00,24021,7697
2020-12-23 00:00:00,33618,9597
2020-12-24 00:00:00,37396,3778
2020-12-25 00:00:00,37533,137
2020-12-26 00:00:00,44036,6503
2020-12-27 00:00:00,46674,2638
2020-12-28 00:00:00,55807,9133
2020-12-29 00:00:00,68519,12712
2020-12-30 00:00:00,83264,14745
2020-12-31 00:00:00,91013,7749
2021-01-01 00:00:00,91551,538
2021-01-02 00:00:00,99081,7530
2021-01-03 00:00:00,102262,3181
2021-01-04 00:00:00,110795,8533
2021-01-05 00:00:00,119557,8762
2021-01-06 00:00:00,131359,11802
2021-01-07 00:00:00,143806,12447
2021-01-08 00:00:00,155627,11821
2021-01-09 00:00:00,163527,7900
2021-01-10 00:00:00,166717,3190
2021-01-11 00:00:00,182173,15456
2021-01-12 00:00:00,205187,23014
2021-01-13 00:00:00,230129,24942
2021-01-14 00:00:00,254582,24453
2021-01-15 00:00:00,279226,24644
2021-01-16 00:00:00,294923,15697
2021-01-17 00:00:00,304209,9286
2021-01-18 00:00:00,323048,18839
2021-01-19 00:00:00,349543,26495
2021-01-20 00:00:00,380986,31443
2021-01-21 00:00:00,415792,34806
2021-01-22 00:00:00,453393,37601
2021-01-23 00:00:00,481914,28521
2021-01-24 00:00:00,498076,16162
2021-01-25 00:00:00,527037,28961
2021-01-26 00:00:00,563484,36447
2021-01-27 00:00:00,602800,39316
2021-01-28 00:00:00,642053,39253
2021-01-29 00:00:00,681568,39515
2021-01-30 00:00:00,707719,26151
2021-01-31 00:00:00,719260,11541
2021-02-01 00:00:00,748599,29339
2021-02-02 00:00:00,786697,38098
2021-02-03 00:00:00,830028,43331
2021-02-04 00:00:00,875963,45935
2021-02-05 00:00:00,919481,43518
2021-02-06 00:00:00,957437,37956
2021-02-07 00:00:00,973698,16261
2021-02-08 00:00:00,1012058,38360
2021-02-09 00:00:00,1055787,43729
2021-02-10 00:00:00,1105873,50086
2021-02-11 00:00:00,1156426,50553
2021-02-12 00:00:00,1217141,60715
2021-02-13 00:00:00,1262617,45476
2021-02-14 00:00:00,1279862,17245
2021-02-15 00:00:00,1310875,31013
2021-02-16 00:00:00,1354999,44124
2021-02-17 00:00:00,1401477,46478
2021-02-18 00:00:00,1445525,44048
2021-02-19 00:00:00,1487457,41932
2021-02-20 00:00:00,1522275,34818
2021-02-21 00:00:00,1537059,14784
2021-02-22 00:00:00,1564726,27667
2021-02-23 00:00:00,1608591,43865
2021-02-24 00:00:00,1664870,56279
2021-02-25 00:00:00,1724676,59806
2021-02-26 00:00:00,1791130,66454
2021-02-27 00:00:00,1842668,51538
2021-02-28 00:00:00,1867986,25318
2021-03-01 00:00:00,1912548,44562
2021-03-02 00:00:00,1961737,49189
2021-03-03 00:00:00,2019805,58068
2021-03-04 00:00:00,2077053,57248
2021-03-05 00:00:00,2134757,57704
2021-03-06 00:00:00,2179007,44250
2021-03-07 00:00:00,2204828,25821
2021-03-08 00:00:00,2254764,49936
2021-03-09 00:00:00,2310954,56190
2021-03-10 00:00:00,2377066,66112
2021-03-11 00:00:00,2446120,69054
2021-03-12 00:00:00,2516923,70803
2021-03-13 00:00:00,2566973,50050
2021-03-14 00:00:00,2594413,27440
2021-03-15 00:00:00,2640784,46371
2021-03-16 00:00:00,2694306,53522
2021-03-17 00:00:00,2755406,61100
2021-03-18 00:00:00,2817072,61666
2021-03-19 00:00:00,2874138,57066
2021-03-20 00:00:00,2917184,43046
2021-03-21 00:00:00,2945426,28242
2021-03-22 00:00:00,2983146,37720
2021-03-23 00:00:00,3025715,42569
2021-03-24 00:00:00,3081550,55835
2021-03-25 00:00:00,3144106,62556
2021-03-26 00:00:00,3205839,61733
2021-03-27 00:00:00,3251889,46050
2021-03-28 00:00:00,3285186,33297
2021-03-29 00:00:00,3337392,52206
2021-03-30 00:00:00,3395034,57642
2021-03-31 00:00:00,3460455,65421
2021-04-01 00:00:00,3521651,61196
2021-04-02 00:00:00,3578523,56872
2021-04-03 00:00:00,3609827,31304
