Category,value
Apache,518
Cochise,418
Coconino,393
Gila,281
Graham,141
Greenlee,23
La Paz,105
Maricopa,"13,043"
Mohave,"1,069"
Navajo,697
Pima,"2,961"
Pinal,"1,209"
Santa Cruz,199
Yavapai,858
Yuma,939
Female,9439
Male,13402
20-44y,1232
45-54y,1763
55-64y,3558
65+,16251
<20y,50
"White, non-Hispanic",11804
Hispanic or Latino,6321
"American Indian or Alaska Native, non-Hispanic",1722
"Black or African American, non-Hispanic",702
"Asian or Pacific Islander, non-Hispanic",285
Other Race,633
Unknown,1387
