date,Apache_cume,Apache
2020-12-01,2,
2020-12-02,3,1
2020-12-03,5,2
2020-12-04,6,1
2020-12-07,8,2
2020-12-08,9,1
2020-12-09,11,2
2020-12-13,12,1
2020-12-15,16,4
2020-12-16,47,31
2020-12-17,94,47
2020-12-18,132,38
2020-12-19,133,1
2020-12-21,150,17
2020-12-22,161,11
2020-12-23,328,167
2020-12-24,337,9
2020-12-25,339,2
2020-12-26,341,2
2020-12-28,413,72
2020-12-29,744,331
2020-12-30,905,161
2020-12-31,1045,140
2021-01-01,1048,3
2021-01-02,1060,12
2021-01-04,1164,104
2021-01-05,1337,173
2021-01-06,1674,337
2021-01-07,2004,330
2021-01-08,2200,196
2021-01-09,2216,16
2021-01-10,2217,1
2021-01-11,2808,591
2021-01-12,3177,369
2021-01-13,3503,326
2021-01-14,4037,534
2021-01-15,4344,307
2021-01-16,4363,19
2021-01-17,4364,1
2021-01-18,4434,70
2021-01-19,4713,279
2021-01-20,5531,818
2021-01-21,6354,823
2021-01-22,6823,469
2021-01-23,6853,30
2021-01-24,6857,4
2021-01-25,7240,383
2021-01-26,7683,443
2021-01-27,8238,555
2021-01-28,9129,891
2021-01-29,9556,427
2021-01-30,9570,14
2021-01-31,9615,45
2021-02-01,10104,489
2021-02-02,10510,406
2021-02-03,11184,674
2021-02-04,12424,1240
2021-02-05,13009,585
2021-02-06,13241,232
2021-02-07,13245,4
2021-02-08,13499,254
2021-02-09,13769,270
2021-02-10,14827,1058
2021-02-11,15675,848
2021-02-12,15978,303
2021-02-13,16131,153
2021-02-14,16134,3
2021-02-15,16232,98
2021-02-16,16991,759
2021-02-17,17703,712
2021-02-18,18615,912
2021-02-19,19043,428
2021-02-20,19166,123
2021-02-21,19181,15
2021-02-22,19731,550
2021-02-23,20182,451
2021-02-24,20649,467
2021-02-25,21342,693
2021-02-26,21544,202
2021-02-27,21779,235
2021-02-28,21783,4
2021-03-01,22187,404
2021-03-02,22470,283
2021-03-03,22953,483
2021-03-04,23337,384
2021-03-05,23694,357
2021-03-06,23775,81
2021-03-07,23779,4
2021-03-08,24021,242
2021-03-09,24322,301
2021-03-10,25000,678
2021-03-11,25456,456
2021-03-12,25762,306
2021-03-13,25830,68
2021-03-14,25833,3
2021-03-15,26040,207
2021-03-16,26421,381
2021-03-17,26708,287
2021-03-18,26957,249
2021-03-19,27126,169
2021-03-20,27182,56
2021-03-21,27188,6
2021-03-22,27439,251
2021-03-23,27675,236
2021-03-24,28076,401
2021-03-25,28318,242
2021-03-26,28486,168
2021-03-27,28536,50
2021-03-28,28540,4
2021-03-29,28733,193
2021-03-30,28942,209
2021-03-31,29170,228
2021-04-01,29344,174
2021-04-02,29511,167
2021-04-03,29599,88
2021-04-04,29607,8
2021-04-05,29785,178
2021-04-06,29989,204
2021-04-07,30193,204
2021-04-08,30391,198
2021-04-09,30559,168
2021-04-10,30628,69
2021-04-11,30637,9
2021-04-12,30839,202
2021-04-13,30991,152
2021-04-14,31140,149
2021-04-15,31287,147
2021-04-16,31442,155
2021-04-17,31458,16
2021-04-18,31463,5
2021-04-19,31597,134
2021-04-20,31722,125
2021-04-21,31827,105
2021-04-22,31951,124
2021-04-23,32058,107
2021-04-24,32111,53
2021-04-25,32118,7
2021-04-26,32231,113
2021-04-27,32366,135
2021-04-28,32493,127
2021-04-29,32632,139
2021-04-30,32761,129
2021-05-01,32822,61
2021-05-02,32824,2
2021-05-03,32937,113
2021-05-04,33061,124
2021-05-05,33157,96
2021-05-06,33233,76
2021-05-07,33315,82
2021-05-08,33333,18
2021-05-09,33337,4
2021-05-10,33435,98
2021-05-11,33538,103
2021-05-12,33640,102
2021-05-13,33821,181
2021-05-14,34069,248
2021-05-15,34490,421
2021-05-16,34498,8
2021-05-17,34797,299
2021-05-18,35068,271
2021-05-19,35256,188
2021-05-20,35415,159
2021-05-21,35530,115
2021-05-22,35594,64
2021-05-23,35601,7
2021-05-24,35730,129
2021-05-25,35867,137
2021-05-26,36010,143
2021-05-27,36141,131
2021-05-28,36244,103
2021-05-29,36262,18
2021-05-30,36267,5
2021-05-31,36274,7
2021-06-01,36386,112
2021-06-02,36483,97
2021-06-03,36584,101
2021-06-04,36817,233
2021-06-05,37168,351
2021-06-06,37178,10
2021-06-07,37452,274
2021-06-08,37763,311
2021-06-09,38017,254
2021-06-10,38127,110
2021-06-11,38247,120
2021-06-12,38279,32
2021-06-13,38285,6
2021-06-14,38403,118
2021-06-15,38530,127
2021-06-16,38675,145
2021-06-17,38768,93
2021-06-18,38824,56
2021-06-19,38857,33
2021-06-20,38861,4
2021-06-21,38950,89
2021-06-22,39042,92
2021-06-23,39132,90
2021-06-24,39201,69
2021-06-25,39287,86
2021-06-26,39322,35
2021-06-27,39327,5
2021-06-28,39423,96
2021-06-29,39536,113
2021-06-30,39648,112
2021-07-01,39707,59
2021-07-02,39767,60
2021-07-03,39772,5
2021-07-04,39774,2
2021-07-05,39779,5
2021-07-06,39892,113
2021-07-07,39965,73
2021-07-08,40038,73
2021-07-09,40085,47
2021-07-10,40090,5
2021-07-11,40092,2
2021-07-12,40186,94
2021-07-13,40260,74
2021-07-14,40352,92
2021-07-15,40412,60
2021-07-16,40493,81
2021-07-17,40504,11
2021-07-18,40511,7
2021-07-19,40565,54
2021-07-20,40652,87
2021-07-21,40724,72
2021-07-22,40799,75
2021-07-23,40904,105
2021-07-24,40909,5
2021-07-25,40913,4
2021-07-26,40991,78
2021-07-27,41101,110
2021-07-28,41214,113
2021-07-29,41319,105
2021-07-30,41405,86
2021-07-31,41419,14
2021-08-01,41420,1
2021-08-02,41531,111
2021-08-03,41658,127
2021-08-04,41754,96
2021-08-05,41822,68
2021-08-06,41934,112
2021-08-07,41948,14
2021-08-08,41953,5
2021-08-09,42066,113
2021-08-10,42152,86
2021-08-11,42255,103
2021-08-12,42344,89
2021-08-13,42476,132
2021-08-14,42502,26
2021-08-15,42518,16
2021-08-16,42614,96
2021-08-17,42722,108
2021-08-18,42842,120
2021-08-19,42942,100
2021-08-20,43062,120
2021-08-21,43077,15
2021-08-22,43089,12
2021-08-23,43196,107
2021-08-24,43302,106
2021-08-25,43396,94
2021-08-26,43511,115
2021-08-27,43642,131
2021-08-28,43667,25
2021-08-29,43674,7
2021-08-30,43758,84
2021-08-31,43831,73
2021-09-01,43916,85
2021-09-02,43989,73
2021-09-03,44107,118
2021-09-04,44127,20
2021-09-05,44132,5
2021-09-06,44137,5
2021-09-07,44212,75
2021-09-08,44312,100
2021-09-09,44371,59
2021-09-10,44447,76
2021-09-11,44463,16
2021-09-12,44469,6
2021-09-13,44547,78
2021-09-14,44612,65
2021-09-15,44677,65
2021-09-16,44723,46
2021-09-17,44845,122
2021-09-18,44853,8
2021-09-19,44858,5
2021-09-20,44918,60
2021-09-21,44990,72
2021-09-22,45038,48
2021-09-23,45088,50
2021-09-24,45204,116
2021-09-25,45250,46
2021-09-26,45289,39
2021-09-27,45355,66
2021-09-28,45463,108
2021-09-29,45599,136
2021-09-30,45786,187
2021-10-01,45950,164
2021-10-02,46013,63
2021-10-03,46064,51
2021-10-04,46164,100
2021-10-05,46317,153
2021-10-06,46432,115
2021-10-07,46597,165
2021-10-08,46743,146
2021-10-09,46818,75
2021-10-10,46847,29
2021-10-11,46895,48
2021-10-12,47028,133
2021-10-13,47229,201
2021-10-14,47353,124
2021-10-15,47475,122
2021-10-16,47525,50
2021-10-17,47545,20
2021-10-18,47672,127
2021-10-19,47794,122
2021-10-20,47934,140
2021-10-21,48014,80
2021-10-22,48124,110
2021-10-23,48204,80
2021-10-24,48275,71
2021-10-25,48435,160
2021-10-26,48603,168
2021-10-27,48911,308
2021-10-28,49140,229
2021-10-29,49297,157
2021-10-30,49349,52
2021-10-31,49428,79
2021-11-01,49639,211
2021-11-02,49841,202
2021-11-03,50067,226
2021-11-04,50433,366
2021-11-05,50603,170
2021-11-06,50745,142
2021-11-07,50920,175
2021-11-08,51144,224
2021-11-09,51374,230
2021-11-10,51722,348
2021-11-11,51953,231
2021-11-12,52302,349
2021-11-13,52443,141
2021-11-14,52644,201
2021-11-15,52867,223
2021-11-16,53248,381
2021-11-17,53520,272
2021-11-18,53748,228
2021-11-19,54071,323
2021-11-20,54244,173
2021-11-21,54353,109
2021-11-22,54709,356
2021-11-23,55015,306
2021-11-24,55230,215
2021-11-26,55443,213
2021-11-27,55540,97
2021-11-28,55683,143
2021-11-29,55934,251
2021-11-30,56226,292
2021-12-01,56515,289
2021-12-02,56703,188
2021-12-03,57189,486
2021-12-04,57434,245
2021-12-05,57564,130
2021-12-06,57787,223
2021-12-07,58057,270
2021-12-08,58324,267
2021-12-09,58578,254
2021-12-10,58830,252
2021-12-11,58982,152
2021-12-12,59074,92
2021-12-13,59308,234
2021-12-14,59535,227
2021-12-15,59769,234
2021-12-16,59971,202
2021-12-17,60146,175
2021-12-18,60195,49
2021-12-19,60273,78
2021-12-20,60307,34
