Category,value
Apache,536
Cochise,448
Coconino,405
Gila,298
Graham,150
Greenlee,26
La Paz,105
Maricopa,"13,457"
Mohave,"1,133"
Navajo,733
Pima,"3,094"
Pinal,"1,273"
Santa Cruz,204
Yavapai,918
Yuma,962
Female,9818
Male,13910
20-44y,1291
45-54y,1848
55-64y,3743
65+,16808
<20y,52
"White, non-Hispanic",12283
Hispanic or Latino,6522
"American Indian or Alaska Native, non-Hispanic",1759
"Black or African American, non-Hispanic",726
"Asian or Pacific Islander, non-Hispanic",295
Other Race,665
Unknown,1492
