date,icu_covid,icu_non_covid,icu_empty
2020-03-26,,741,458
2020-03-27,,989,461
2020-03-28,,1003,474
2020-03-29,,969,514
2020-03-30,,1065,477
2020-03-31,,1096,467
2020-04-01,,1066,498
2020-04-02,,1037,517
2020-04-03,,1048,525
2020-04-04,,1033,538
2020-04-05,,1012,563
2020-04-06,,1034,549
2020-04-07,,978,599
2020-04-08,155,837,577
2020-04-09,248,711,607
2020-04-10,268,761,557
2020-04-11,286,754,542
2020-04-12,274,742,555
2020-04-13,270,757,561
2020-04-14,279,714,616
2020-04-15,278,754,585
2020-04-16,285,710,650
2020-04-17,281,746,620
2020-04-18,283,819,545
2020-04-19,285,767,595
2020-04-20,290,795,566
2020-04-21,301,859,508
2020-04-22,305,892,465
2020-04-23,332,780,532
2020-04-24,313,838,507
2020-04-25,308,833,520
2020-04-26,328,815,519
2020-04-27,303,790,578
2020-04-28,312,772,563
2020-04-29,311,835,500
2020-04-30,311,797,546
2020-05-01,291,804,546
2020-05-02,282,813,552
2020-05-03,288,816,544
2020-05-04,303,780,567
2020-05-05,286,824,541
2020-05-06,288,838,521
2020-05-07,295,865,488
2020-05-08,296,863,489
2020-05-09,300,860,487
2020-05-10,297,888,460
2020-05-11,318,799,529
2020-05-12,292,870,482
2020-05-13,323,875,452
2020-05-14,312,877,451
2020-05-15,340,860,469
2020-05-16,337,879,454
2020-05-17,347,861,451
2020-05-18,318,903,442
2020-05-19,298,936,429
2020-05-20,299,958,398
2020-05-21,311,954,387
2020-05-22,309,987,364
2020-05-23,321,975,358
2020-05-24,334,925,406
2020-05-25,337,898,427
2020-05-26,376,880,405
2020-05-27,374,870,418
2020-05-28,378,884,411
2020-05-29,386,874,405
2020-05-30,376,903,385
2020-05-31,377,887,408
2020-06-01,380,873,419
2020-06-02,379,900,395
2020-06-03,375,927,374
2020-06-04,372,821,375
2020-06-05,391,807,369
2020-06-06,392,811,364
2020-06-07,390,802,363
2020-06-08,438,820,400
2020-06-09,413,889,355
2020-06-10,429,856,373
2020-06-11,429,899,337
2020-06-12,447,870,347
2020-06-13,452,861,344
2020-06-14,464,883,291
2020-06-15,502,805,334
2020-06-16,531,854,276
2020-06-17,540,867,259
2020-06-18,519,877,268
2020-06-19,546,859,257
2020-06-20,556,862,246
2020-06-21,583,810,269
2020-06-22,614,798,266
2020-06-23,581,891,200
2020-06-24,611,884,198
2020-06-25,625,855,209
2020-06-26,657,802,222
2020-06-27,666,815,218
2020-06-28,679,820,211
2020-06-29,683,752,224
2020-06-30,675,820,187
2020-07-01,723,760,189
2020-07-02,741,779,156
2020-07-03,796,677,171
2020-07-04,821,643,178
2020-07-05,839,611,188
2020-07-06,869,612,167
2020-07-07,871,666,145
2020-07-08,861,636,181
2020-07-09,876,614,187
2020-07-10,899,657,174
2020-07-11,922,589,178
2020-07-12,936,563,175
2020-07-13,970,528,197
2020-07-14,929,594,172
2020-07-15,918,581,187
2020-07-16,944,572,177
2020-07-17,894,612,189
2020-07-18,894,593,204
2020-07-19,886,594,213
2020-07-20,865,583,252
2020-07-21,870,595,230
2020-07-22,851,620,224
2020-07-23,837,605,249
2020-07-24,842,614,243
2020-07-25,837,635,234
2020-07-26,820,645,240
2020-07-27,814,619,272
2020-07-28,800,651,263
2020-07-29,758,720,248
2020-07-30,719,761,246
2020-07-31,710,766,255
2020-08-01,685,795,255
2020-08-02,628,822,292
2020-08-03,638,805,303
2020-08-04,618,823,307
2020-08-05,593,849,297
2020-08-06,565,898,274
2020-08-07,539,908,293
2020-08-08,514,926,289
2020-08-09,506,902,322
2020-08-10,510,857,361
2020-08-11,519,859,351
2020-08-12,497,876,340
2020-08-13,473,894,337
2020-08-14,442,889,370
2020-08-15,417,951,340
2020-08-16,430,926,345
2020-08-17,427,935,348
2020-08-18,414,944,349
2020-08-19,388,934,366
2020-08-20,365,951,371
2020-08-21,363,956,363
2020-08-22,329,990,360
2020-08-23,345,971,361
2020-08-24,319,970,389
2020-08-25,305,1028,355
2020-08-26,311,1043,337
2020-08-27,272,1066,354
2020-08-28,262,1055,351
2020-08-29,263,1058,349
2020-08-30,256,1027,377
2020-08-31,253,1036,376
2020-09-01,248,1063,353
2020-09-02,241,1088,339
2020-09-03,236,1094,338
2020-09-04,225,1093,352
2020-09-05,229,1072,369
2020-09-06,221,1073,374
2020-09-07,212,1053,404
2020-09-08,203,1055,408
2020-09-09,204,1098,366
2020-09-10,171,1129,367
2020-09-11,185,1111,367
2020-09-12,171,1149,341
2020-09-13,168,1146,345
2020-09-14,138,1156,368
2020-09-15,135,1164,356
2020-09-16,119,1193,344
2020-09-17,130,1193,334
2020-09-18,120,1160,374
2020-09-19,120,1193,341
2020-09-20,119,1154,379
2020-09-21,122,1175,357
2020-09-22,114,1160,350
2020-09-23,122,1164,338
2020-09-24,119,1149,360
2020-09-25,115,1145,369
2020-09-26,116,1124,387
2020-09-27,115,1083,427
2020-09-28,119,1101,407
2020-09-29,115,1124,388
2020-09-30,122,1155,353
2020-10-01,125,1166,335
2020-10-02,127,1145,359
2020-10-03,133,1183,332
2020-10-04,134,1159,352
2020-10-05,138,1179,335
2020-10-06,147,1182,319
2020-10-07,156,1172,326
2020-10-08,155,1153,345
2020-10-09,145,1163,344
2020-10-10,144,1161,346
2020-10-11,155,1164,329
2020-10-12,146,1228,315
2020-10-13,163,1206,281
2020-10-14,173,1195,288
