date,La Paz_cume,La Paz
2020-12-21 00:00:00,30,
2020-12-22 00:00:00,70,40
2020-12-23 00:00:00,88,18
2020-12-30 00:00:00,110,22
2021-01-05 00:00:00,112,2
2021-01-06 00:00:00,152,40
2021-01-07 00:00:00,212,60
2021-01-11 00:00:00,213,1
2021-01-13 00:00:00,399,186
2021-01-14 00:00:00,400,1
2021-01-19 00:00:00,443,43
2021-01-20 00:00:00,552,109
2021-01-25 00:00:00,574,22
2021-01-26 00:00:00,597,23
2021-01-27 00:00:00,1135,538
2021-01-28 00:00:00,1785,650
2021-01-29 00:00:00,1807,22
2021-01-30 00:00:00,1809,2
2021-02-01 00:00:00,1835,26
2021-02-02 00:00:00,1869,34
2021-02-03 00:00:00,2568,699
2021-02-04 00:00:00,2741,173
2021-02-05 00:00:00,2794,53
2021-02-06 00:00:00,2795,1
2021-02-08 00:00:00,2836,41
2021-02-09 00:00:00,2873,37
2021-02-10 00:00:00,3449,576
2021-02-11 00:00:00,3654,205
2021-02-17 00:00:00,3747,93
2021-02-18 00:00:00,4266,519
2021-02-19 00:00:00,4267,1
2021-02-22 00:00:00,4300,33
2021-02-23 00:00:00,4322,22
2021-02-24 00:00:00,4653,331
2021-02-25 00:00:00,5305,652
2021-02-26 00:00:00,5327,22
2021-03-01 00:00:00,5396,69
2021-03-02 00:00:00,5471,75
2021-03-03 00:00:00,6223,752
2021-03-04 00:00:00,6940,717
2021-03-05 00:00:00,6996,56
2021-03-06 00:00:00,7018,22
2021-03-08 00:00:00,7074,56
2021-03-09 00:00:00,7159,85
2021-03-10 00:00:00,7826,667
2021-03-11 00:00:00,8438,612
2021-03-12 00:00:00,8494,56
2021-03-15 00:00:00,8538,44
2021-03-16 00:00:00,8596,58
2021-03-17 00:00:00,9057,461
2021-03-18 00:00:00,9634,577
2021-03-19 00:00:00,9682,48
