Category,value
Apache,554
Cochise,483
Coconino,423
Gila,317
Graham,159
Greenlee,30
La Paz,112
Maricopa,"14,064"
Mohave,"1,223"
Navajo,770
Pima,"3,273"
Pinal,"1,360"
Santa Cruz,207
Yavapai,"1,007"
Yuma,"1,010"
Female,10347
Male,14632
20-44y,1368
45-54y,1966
55-64y,3973
65+,17631
<20y,54
"White, non-Hispanic",13092
Hispanic or Latino,6787
"American Indian or Alaska Native, non-Hispanic",1811
"Black or African American, non-Hispanic",765
"Asian or Pacific Islander, non-Hispanic",306
Other Race,690
Unknown,1541
