date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
1/1/2021,11,6,21,15,16,
1/1/2022,737,565,714,1385,4959,759
1/10/2021,28,20,43,37,33,
1/10/2022,752,569,723,1403,4989,771
1/11/2021,28,20,43,38,36,
1/11/2022,752,569,723,1405,4989,771
1/12/2021,28,20,45,39,42,
1/13/2021,56,48,82,82,66,
1/14/2021,57,48,82,83,71,1
1/15/2021,59,49,82,83,74,1
1/16/2021,59,50,82,84,75,1
1/17/2021,59,50,82,84,77,1
1/18/2021,60,51,82,87,84,1
1/19/2021,60,51,82,87,89,1
1/2/2021,11,6,21,15,16,
1/2/2022,737,565,714,1385,4960,761
1/20/2021,67,55,90,108,105,1
1/21/2021,67,55,91,111,112,1
1/22/2021,67,58,91,111,112,1
1/23/2021,68,59,91,111,115,1
1/24/2021,68,59,91,112,115,1
1/25/2021,69,61,92,114,139,1
1/26/2021,71,61,92,116,160,1
1/27/2021,72,61,95,118,521,1
1/28/2021,75,64,98,124,906,1
1/29/2021,76,64,99,125,926,1
1/3/2021,11,6,21,15,16,
1/3/2022,740,566,715,1387,4966,761
1/30/2021,77,66,99,125,931,1
1/31/2021,77,66,99,126,939,1
1/4/2021,11,8,21,16,16,
1/4/2022,740,566,715,1388,4970,764
1/5/2021,11,8,21,16,18,
1/5/2022,742,566,715,1390,4973,767
1/6/2021,17,12,29,26,21,
1/6/2022,744,566,718,1399,4982,767
1/7/2021,28,20,43,37,33,
1/7/2022,745,567,720,1400,4985,767
1/8/2021,28,20,43,37,33,
1/8/2022,747,567,721,1401,4986,768
1/9/2021,28,20,43,37,33,
1/9/2022,748,567,721,1401,4986,768
10/1/2021,599,475,639,1229,4551,434
10/10/2021,626,485,650,1240,4570,459
10/11/2021,628,486,651,1241,4574,460
10/12/2021,628,488,651,1244,4577,465
10/13/2021,632,491,654,1247,4577,467
10/14/2021,635,492,655,1248,4577,469
10/15/2021,636,492,655,1249,4578,469
10/16/2021,640,492,656,1249,4578,469
10/17/2021,644,493,657,1249,4578,470
10/18/2021,646,493,659,1250,4579,477
10/19/2021,646,493,660,1251,4581,482
10/2/2021,599,475,640,1229,4552,435
10/20/2021,649,497,661,1253,4583,483
10/21/2021,649,499,662,1255,4590,483
10/22/2021,650,501,663,1255,4596,485
10/23/2021,653,501,663,1256,4596,485
10/24/2021,654,501,664,1257,4597,485
10/25/2021,654,501,664,1257,4600,489
10/26/2021,654,503,664,1259,4613,497
10/27/2021,655,509,666,1264,4620,502
