date,Pima_cume,Pima
2020-12-01,83,
2020-12-02,88,5
2020-12-03,96,8
2020-12-04,99,3
2020-12-05,100,1
2020-12-06,102,2
2020-12-07,105,3
2020-12-08,107,2
2020-12-09,117,10
2020-12-10,120,3
2020-12-11,129,9
2020-12-12,135,6
2020-12-13,138,3
2020-12-14,145,7
2020-12-15,173,28
2020-12-16,183,10
2020-12-17,1402,1219
2020-12-18,2778,1376
2020-12-19,3515,737
2020-12-20,3541,26
2020-12-21,5054,1513
2020-12-22,6621,1567
2020-12-23,8512,1891
2020-12-24,9576,1064
2020-12-25,9585,9
2020-12-26,10380,795
2020-12-27,10554,174
2020-12-28,12371,1817
2020-12-29,14325,1954
2020-12-30,16441,2116
2020-12-31,18037,1596
2021-01-01,19134,1097
2021-01-02,19805,671
2021-01-03,20187,382
2021-01-04,22030,1843
2021-01-05,23829,1799
2021-01-06,25985,2156
2021-01-07,28286,2301
2021-01-08,30957,2671
2021-01-09,33057,2100
2021-01-10,33516,459
2021-01-11,36374,2858
2021-01-12,39265,2891
2021-01-13,41897,2632
2021-01-14,44477,2580
2021-01-15,48737,4260
2021-01-16,50222,1485
2021-01-17,50785,563
2021-01-18,54792,4007
2021-01-19,59048,4256
2021-01-20,64098,5050
2021-01-21,69688,5590
2021-01-22,76417,6729
2021-01-23,79913,3496
2021-01-24,81031,1118
2021-01-25,88395,7364
2021-01-26,95282,6887
2021-01-27,102790,7508
2021-01-28,109905,7115
2021-01-29,117168,7263
2021-01-30,122217,5049
2021-01-31,123654,1437
2021-02-01,130842,7188
2021-02-02,137522,6680
2021-02-03,144757,7235
2021-02-04,152182,7425
2021-02-05,161103,8921
2021-02-06,166025,4922
2021-02-07,167336,1311
2021-02-08,174531,7195
2021-02-09,181059,6528
2021-02-10,188897,7838
2021-02-11,196974,8077
2021-02-12,206115,9141
2021-02-13,211410,5295
2021-02-14,212526,1116
2021-02-15,218858,6332
2021-02-16,226086,7228
2021-02-17,233894,7808
2021-02-18,241599,7705
2021-02-19,247595,5996
2021-02-20,251831,4236
2021-02-21,252771,940
2021-02-22,258218,5447
2021-02-23,264682,6464
2021-02-24,273111,8429
2021-02-25,283314,10203
2021-02-26,295519,12205
2021-02-27,303399,7880
2021-02-28,307289,3890
2021-03-01,318514,11225
2021-03-02,327528,9014
2021-03-03,337876,10348
2021-03-04,346615,8739
2021-03-05,356929,10314
2021-03-06,364082,7153
2021-03-07,368288,4206
2021-03-08,378784,10496
2021-03-09,389150,10366
2021-03-10,401558,12408
2021-03-11,413719,12161
2021-03-12,426622,12903
2021-03-13,434719,8097
2021-03-14,438651,3932
2021-03-15,447898,9247
2021-03-16,457780,9882
2021-03-17,468827,11047
2021-03-18,479796,10969
2021-03-19,491491,11695
2021-03-20,498289,6798
2021-03-21,504237,5948
2021-03-22,513210,8973
2021-03-23,523576,10366
2021-03-24,535708,12132
2021-03-25,549258,13550
2021-03-26,563583,14325
2021-03-27,572373,8790
2021-03-28,578272,5899
2021-03-29,589018,10746
2021-03-30,601230,12212
2021-03-31,615065,13835
2021-04-01,628658,13593
2021-04-02,641569,12911
2021-04-03,650211,8642
2021-04-04,655124,4913
2021-04-05,667244,12120
2021-04-06,679308,12064
2021-04-07,693857,14549
2021-04-08,707955,14098
2021-04-09,722483,14528
2021-04-10,730994,8511
2021-04-11,735724,4730
2021-04-12,746405,10681
2021-04-13,756154,9749
2021-04-14,767574,11420
2021-04-15,779395,11821
2021-04-16,791551,12156
2021-04-17,798006,6455
2021-04-18,802504,4498
2021-04-19,811446,8942
2021-04-20,820803,9357
2021-04-21,831410,10607
2021-04-22,842330,10920
2021-04-23,853955,11625
2021-04-24,861415,7460
2021-04-25,865338,3923
2021-04-26,875888,10550
2021-04-27,885612,9724
2021-04-28,895426,9814
2021-04-29,904702,9276
2021-04-30,913754,9052
2021-05-01,918248,4494
2021-05-02,921211,2963
2021-05-03,928030,6819
2021-05-04,934360,6330
2021-05-05,941545,7185
2021-05-06,947626,6081
2021-05-07,954400,6774
2021-05-08,957947,3547
2021-05-09,959668,1721
2021-05-10,964106,4438
2021-05-11,967892,3786
2021-05-12,972343,4451
2021-05-13,978117,5774
2021-05-14,984444,6327
2021-05-15,989222,4778
2021-05-16,992268,3046
2021-05-17,997265,4997
2021-05-18,1001064,3799
2021-05-19,1005290,4226
2021-05-20,1009194,3904
2021-05-21,1014493,5299
2021-05-22,1018193,3700
2021-05-23,1019812,1619
2021-05-24,1023533,3721
2021-05-25,1026837,3304
2021-05-26,1029976,3139
2021-05-27,1032842,2866
2021-05-28,1036604,3762
2021-05-29,1038383,1779
2021-05-30,1039314,931
2021-05-31,1040009,695
2021-06-01,1043413,3404
2021-06-02,1046126,2713
2021-06-03,1049298,3172
2021-06-04,1053498,4200
2021-06-05,1056181,2683
2021-06-06,1057891,1710
2021-06-07,1061643,3752
2021-06-08,1064405,2762
2021-06-09,1067266,2861
2021-06-10,1069920,2654
2021-06-11,1073304,3384
2021-06-12,1075490,2186
2021-06-13,1076626,1136
2021-06-14,1079732,3106
2021-06-15,1081805,2073
2021-06-16,1084052,2247
2021-06-17,1086045,1993
2021-06-18,1088817,2772
2021-06-19,1090390,1573
2021-06-20,1091156,766
2021-06-21,1092955,1799
2021-06-22,1095067,2112
2021-06-23,1097034,1967
2021-06-24,1098872,1838
2021-06-25,1101384,2512
2021-06-26,1102758,1374
2021-06-27,1103497,739
2021-06-28,1105188,1691
2021-06-29,1106787,1599
2021-06-30,1108576,1789
2021-07-01,1110249,1673
2021-07-02,1112050,1801
2021-07-03,1113082,1032
2021-07-04,1113308,226
2021-07-05,1114500,1192
2021-07-06,1115925,1425
2021-07-07,1117514,1589
2021-07-08,1119266,1752
2021-07-09,1121108,1842
2021-07-10,1122306,1198
2021-07-11,1122905,599
2021-07-12,1124447,1542
2021-07-13,1125831,1384
2021-07-14,1127274,1443
2021-07-15,1128680,1406
2021-07-16,1130577,1897
2021-07-17,1131776,1199
2021-07-18,1132415,639
2021-07-19,1134051,1636
2021-07-20,1135651,1600
2021-07-21,1137355,1704
2021-07-22,1139012,1657
2021-07-23,1141075,2063
2021-07-24,1142388,1313
2021-07-25,1143099,711
2021-07-26,1144967,1868
2021-07-27,1146990,2023
2021-07-28,1149204,2214
2021-07-29,1151156,1952
2021-07-30,1153598,2442
2021-07-31,1155186,1588
2021-08-01,1156260,1074
2021-08-02,1158383,2123
2021-08-03,1160309,1926
2021-08-04,1162097,1788
2021-08-05,1163747,1650
2021-08-06,1166167,2420
2021-08-07,1167738,1571
2021-08-08,1168684,946
2021-08-09,1170612,1928
2021-08-10,1172311,1699
2021-08-11,1173992,1681
2021-08-12,1175809,1817
2021-08-13,1178410,2601
2021-08-14,1180167,1757
2021-08-15,1181290,1123
2021-08-16,1183456,2166
2021-08-17,1185597,2141
2021-08-18,1187953,2356
2021-08-19,1190158,2205
2021-08-20,1192953,2795
2021-08-21,1194629,1676
2021-08-22,1195761,1132
2021-08-23,1198075,2314
2021-08-24,1200631,2556
2021-08-25,1202942,2311
2021-08-26,1204895,1953
2021-08-27,1207641,2746
2021-08-28,1209315,1674
2021-08-29,1210415,1100
2021-08-30,1212424,2009
2021-08-31,1214237,1813
2021-09-01,1216120,1883
2021-09-02,1217569,1449
