date,Graham_cume,Graham
2020-12-17,80,
2020-12-18,147,67
2020-12-20,148,1
2020-12-21,196,48
2020-12-22,242,46
2020-12-23,373,131
2020-12-24,434,61
2020-12-26,444,10
2020-12-27,447,3
2020-12-28,602,155
2020-12-29,755,153
2020-12-30,874,119
2020-12-31,960,86
2021-01-01,972,12
2021-01-02,975,3
2021-01-04,1117,142
2021-01-05,1232,115
2021-01-06,1354,122
2021-01-07,1596,242
2021-01-08,1867,271
2021-01-09,1869,2
2021-01-11,2007,138
2021-01-12,2174,167
2021-01-13,2385,211
2021-01-14,2680,295
2021-01-15,3295,615
2021-01-16,3354,59
2021-01-17,3357,3
2021-01-18,3511,154
2021-01-19,3807,296
2021-01-20,4095,288
2021-01-21,4356,261
2021-01-22,4638,282
2021-01-23,4882,244
2021-01-24,4885,3
2021-01-25,5067,182
2021-01-26,5243,176
2021-01-27,5529,286
2021-01-28,5830,301
2021-01-29,6240,410
2021-01-30,6342,102
2021-01-31,6343,1
2021-02-01,6537,194
2021-02-02,6741,204
2021-02-03,7011,270
2021-02-04,7287,276
2021-02-05,7635,348
2021-02-06,7902,267
2021-02-07,7903,1
2021-02-08,8119,216
2021-02-09,8334,215
2021-02-10,8605,271
2021-02-11,9010,405
2021-02-12,9745,735
2021-02-13,9969,224
2021-02-14,9970,1
2021-02-15,10148,178
2021-02-16,10356,208
2021-02-17,10590,234
2021-02-18,11001,411
2021-02-19,11359,358
2021-02-20,11689,330
2021-02-21,11690,1
2021-02-22,11848,158
2021-02-23,12087,239
2021-02-24,12425,338
2021-02-25,12774,349
2021-02-26,13093,319
2021-02-27,13131,38
2021-02-28,13144,13
2021-03-01,13369,225
2021-03-02,13638,269
2021-03-03,13970,332
2021-03-04,14247,277
2021-03-05,14462,215
2021-03-06,14731,269
2021-03-07,14734,3
2021-03-08,14918,184
2021-03-09,15165,247
2021-03-10,15513,348
2021-03-11,15843,330
2021-03-12,16289,446
2021-03-13,16557,268
2021-03-14,16560,3
2021-03-15,16822,262
2021-03-16,17013,191
2021-03-17,17315,302
2021-03-18,17579,264
2021-03-19,17776,197
2021-03-20,17796,20
2021-03-21,17801,5
2021-03-22,17999,198
2021-03-23,18268,269
2021-03-24,18583,315
2021-03-25,18855,272
2021-03-26,19109,254
2021-03-27,19230,121
2021-03-28,19234,4
2021-03-29,19468,234
2021-03-30,19672,204
2021-03-31,20038,366
2021-04-01,20351,313
2021-04-02,20474,123
2021-04-03,20495,21
2021-04-04,20505,10
2021-04-05,20673,168
2021-04-06,20913,240
2021-04-07,21303,390
2021-04-08,21639,336
2021-04-09,21785,146
2021-04-10,21925,140
2021-04-11,21933,8
2021-04-12,22046,113
2021-04-13,22208,162
2021-04-14,22475,267
2021-04-15,22647,172
2021-04-16,22834,187
2021-04-17,22862,28
2021-04-18,22865,3
2021-04-19,22981,116
2021-04-20,23186,205
2021-04-21,23442,256
2021-04-22,23685,243
2021-04-23,23869,184
2021-04-24,23982,113
2021-04-25,23987,5
2021-04-26,24151,164
2021-04-27,24318,167
2021-04-28,24520,202
2021-04-29,24760,240
2021-04-30,24833,73
2021-05-01,24861,28
2021-05-02,24866,5
2021-05-03,24937,71
2021-05-04,25066,129
2021-05-05,25298,232
2021-05-06,25512,214
2021-05-07,25589,77
2021-05-08,25640,51
2021-05-09,25641,1
2021-05-10,25686,45
2021-05-11,25763,77
2021-05-12,25926,163
2021-05-13,26083,157
2021-05-14,26203,120
2021-05-15,26225,22
2021-05-16,26231,6
2021-05-17,26322,91
2021-05-18,26412,90
2021-05-19,26572,160
2021-05-20,26722,150
2021-05-21,26832,110
2021-05-22,26895,63
2021-05-23,26899,4
2021-05-24,26966,67
2021-05-25,27049,83
2021-05-26,27115,66
2021-05-27,27208,93
2021-05-28,27295,87
2021-05-29,27304,9
2021-05-30,27308,4
2021-05-31,27316,8
2021-06-01,27400,84
2021-06-02,27482,82
2021-06-03,27555,73
2021-06-04,27646,91
2021-06-05,27663,17
2021-06-06,27673,10
2021-06-07,27709,36
2021-06-08,27764,55
2021-06-09,27799,35
2021-06-10,27933,134
2021-06-11,27976,43
2021-06-12,28011,35
2021-06-13,28014,3
2021-06-14,28093,79
2021-06-15,28148,55
2021-06-16,28195,47
2021-06-17,28256,61
2021-06-18,28331,75
2021-06-19,28349,18
2021-06-20,28356,7
2021-06-21,28398,42
2021-06-22,28444,46
2021-06-23,28476,32
2021-06-24,28523,47
2021-06-25,28589,66
2021-06-26,28603,14
2021-06-27,28605,2
2021-06-28,28664,59
2021-06-29,28714,50
2021-06-30,28788,74
2021-07-01,28837,49
2021-07-02,28879,42
2021-07-03,28902,23
2021-07-05,28930,28
2021-07-06,28965,35
2021-07-07,29022,57
2021-07-08,29100,78
2021-07-09,29157,57
2021-07-10,29182,25
2021-07-11,29188,6
2021-07-12,29234,46
2021-07-13,29279,45
2021-07-14,29339,60
2021-07-15,29401,62
2021-07-16,29463,62
2021-07-17,29479,16
2021-07-18,29487,8
2021-07-19,29556,69
2021-07-20,29626,70
2021-07-21,29703,77
2021-07-22,29808,105
2021-07-23,29925,117
2021-07-24,29970,45
2021-07-25,29976,6
2021-07-26,30105,129
2021-07-27,30206,101
2021-07-28,30293,87
2021-07-29,30391,98
2021-07-30,30489,98
2021-07-31,30529,40
2021-08-01,30542,13
2021-08-02,30616,74
2021-08-03,30673,57
2021-08-04,30810,137
2021-08-05,30913,103
2021-08-06,31020,107
2021-08-07,31046,26
2021-08-08,31057,11
2021-08-09,31151,94
2021-08-10,31213,62
2021-08-11,31313,100
2021-08-12,31460,147
2021-08-13,31619,159
2021-08-14,31642,23
2021-08-15,31652,10
2021-08-16,31759,107
2021-08-17,31892,133
2021-08-18,32017,125
2021-08-19,32198,181
2021-08-20,32419,221
2021-08-21,32616,197
2021-08-22,32631,15
2021-08-23,32823,192
2021-08-24,32971,148
2021-08-25,33157,186
2021-08-26,33369,212
2021-08-27,33615,246
2021-08-28,33660,45
2021-08-29,33723,63
2021-08-30,33898,175
2021-08-31,34004,106
2021-09-01,34117,113
2021-09-02,34253,136
2021-09-03,34419,166
2021-09-04,34454,35
2021-09-05,34463,9
2021-09-06,34477,14
2021-09-07,34556,79
2021-09-08,34666,110
2021-09-09,34811,145
2021-09-10,34981,170
2021-09-11,35045,64
2021-09-12,35064,19
2021-09-13,35161,97
2021-09-14,35267,106
2021-09-15,35352,85
2021-09-16,35471,119
2021-09-17,35613,142
2021-09-18,35682,69
2021-09-19,35688,6
2021-09-20,35783,95
2021-09-21,35843,60
2021-09-22,35945,102
2021-09-23,36093,148
2021-09-24,36198,105
2021-09-25,36225,27
2021-09-26,36230,5
2021-09-27,36288,58
2021-09-28,36345,57
2021-09-29,36432,87
2021-09-30,36554,122
2021-10-01,36635,81
2021-10-02,36657,22
2021-10-03,36665,8
2021-10-04,36715,50
2021-10-05,36774,59
2021-10-06,36824,50
2021-10-07,36916,92
2021-10-08,36986,70
2021-10-09,37016,30
2021-10-10,37029,13
2021-10-11,37087,58
2021-10-12,37149,62
2021-10-13,37216,67
2021-10-14,37297,81
2021-10-15,37368,71
2021-10-16,37407,39
2021-10-17,37413,6
2021-10-18,37455,42
2021-10-19,37491,36
2021-10-20,37539,48
2021-10-21,37622,83
2021-10-22,37699,77
2021-10-23,37742,43
2021-10-24,37754,12
2021-10-25,37824,70
2021-10-26,37904,80
2021-10-27,37978,74
2021-10-28,38150,172
2021-10-29,38260,110
2021-10-30,38388,128
2021-10-31,38400,12
2021-11-01,38530,130
2021-11-02,38606,76
2021-11-03,38735,129
2021-11-04,38911,176
2021-11-05,39075,164
2021-11-06,39101,26
2021-11-07,39116,15
2021-11-08,39249,133
2021-11-09,39364,115
2021-11-10,39457,93
2021-11-11,39563,106
2021-11-12,39702,139
2021-11-13,39805,103
2021-11-14,39813,8
2021-11-15,39947,134
2021-11-16,40052,105
2021-11-17,40158,106
2021-11-18,40413,255
2021-11-19,40604,191
2021-11-20,40644,40
2021-11-21,40672,28
2021-11-22,40856,184
2021-11-23,40942,86
2021-11-24,41033,91
2021-11-26,41090,57
2021-11-27,41115,25
2021-11-28,41125,10
2021-11-29,41289,164
2021-11-30,41484,195
2021-12-01,41666,182
2021-12-02,41897,231
2021-12-03,42192,295
2021-12-04,42301,109
2021-12-05,42316,15
2021-12-06,42495,179
2021-12-07,42622,127
2021-12-08,42698,76
2021-12-09,42903,205
2021-12-10,43092,189
2021-12-11,43120,28
2021-12-12,43140,20
2021-12-13,43287,147
2021-12-14,43390,103
2021-12-15,43467,77
2021-12-16,43741,274
2021-12-17,43906,165
2021-12-18,43933,27
2021-12-19,43960,27
2021-12-20,44147,187
2021-12-21,44264,117
2021-12-22,44417,153
2021-12-23,44484,67
2021-12-24,44512,28
2021-12-25,44514,2
2021-12-26,44529,15
2021-12-27,44715,186
2021-12-28,44875,160
2021-12-29,45002,127
2021-12-30,45158,156
2021-12-31,45269,111
2022-01-01,45273,4
2022-01-02,45277,4
2022-01-03,45519,242
2022-01-04,45614,95
2022-01-05,45708,94
2022-01-06,45940,232
2022-01-07,46107,167
2022-01-08,46246,139
2022-01-09,46260,14
2022-01-10,46451,191
2022-01-11,46468,17
