date,vents_in_use,vents_available
2020-12-26,1147,988
2020-12-27,1198,968
2020-12-28,1225,924
2020-12-29,1253,903
2020-12-30,1214,925
2020-12-31,1214,898
2021-01-01,1193,914
2021-01-02,1219,888
2021-01-03,1224,880
2021-01-04,1235,924
2021-01-05,1243,903
2021-01-06,1294,879
2021-01-07,1283,865
2021-01-08,1271,881
2021-01-09,1301,892
2021-01-10,1292,899
2021-01-11,1347,918
2021-01-12,1348,925
2021-01-13,1331,1212
2021-01-14,1333,1710
2021-01-15,1332,1715
2021-01-16,1314,1197
2021-01-17,1291,1193
2021-01-18,1326,1182
2021-01-19,1297,1209
2021-01-20,1250,1246
2021-01-21,1251,1256
2021-01-22,1265,1264
2021-01-23,1198,1288
2021-01-24,1192,1268
2021-01-25,1213,1272
2021-01-26,1227,1265
2021-01-27,1194,1286
2021-01-28,1200,1277
2021-01-29,1197,1312
2021-01-30,1206,1279
2021-01-31,1199,1274
2021-02-01,1208,1290
2021-02-02,1206,1306
2021-02-03,1191,1324
2021-02-04,1131,1360
2021-02-05,1086,1410
2021-02-06,1059,1436
2021-02-07,1058,2024
2021-02-08,1047,1435
2021-02-09,1029,1485
2021-02-10,976,1534
2021-02-11,976,1525
2021-02-12,927,1578
2021-02-13,920,1577
2021-02-14,880,1597
2021-02-15,884,1602
2021-02-16,837,1624
2021-02-17,825,2334
2021-02-18,819,1646
2021-02-19,801,2372
2021-02-20,773,1674
2021-02-21,753,1703
2021-02-22,733,1735
2021-02-23,751,1715
2021-02-24,736,1731
2021-02-25,756,1715
2021-02-26,728,1724
2021-02-27,730,1727
2021-02-28,708,1726
2021-03-01,737,1697
2021-03-02,707,1703
2021-03-03,722,1697
2021-03-04,711,1730
2021-03-05,654,1793
2021-03-06,657,1743
2021-03-07,678,1733
2021-03-08,657,1798
2021-03-09,694,1778
2021-03-10,678,1774
2021-03-11,639,1790
2021-03-12,614,1815
2021-03-13,611,1829
2021-03-14,623,1806
2021-03-15,589,1873
2021-03-16,589,1871
2021-03-17,581,1883
2021-03-18,569,1859
2021-03-19,546,1870
2021-03-20,558,1861
2021-03-21,572,1838
2021-03-22,578,1811
2021-03-23,560,1867
2021-03-24,540,1885
2021-03-25,542,1881
2021-03-26,557,1863
2021-03-27,538,1870
2021-03-28,534,1880
2021-03-30,548,1887
2021-03-31,556,1881
2021-04-01,562,1868
2021-04-02,565,1852
2021-04-03,564,1865
2021-04-04,535,1888
2021-04-05,561,1856
2021-04-06,538,1859
2021-04-07,545,1839
2021-04-08,535,1865
2021-04-09,499,1922
2021-04-10,493,1897
2021-04-11,492,1901
2021-04-12,501,1885
2021-04-13,517,1883
2021-04-14,527,1873
2021-04-15,529,1859
2021-04-16,517,1909
2021-04-17,519,1863
2021-04-18,509,1873
2021-04-19,505,1867
2021-04-20,526,1849
2021-04-21,536,1848
2021-04-22,547,1843
2021-04-23,564,1827
2021-04-24,539,1823
2021-04-25,560,1808
2021-04-26,538,1834
2021-04-27,542,1817
2021-04-28,547,1802
2021-04-29,566,1799
2021-04-30,557,1805
2021-05-01,557,1811
2021-05-02,555,1819
2021-05-03,556,1810
2021-05-04,557,1810
2021-05-05,572,1801
2021-05-06,550,1822
2021-05-07,577,1790
2021-05-08,574,1781
2021-05-09,546,1804
2021-05-10,544,1811
2021-05-11,540,1823
2021-05-12,549,1830
2021-05-13,526,1839
2021-05-14,519,1846
2021-05-15,512,1847
2021-05-16,511,1857
2021-05-17,524,1844
2021-05-18,530,1828
2021-05-19,517,1833
2021-05-20,522,1858
2021-05-21,522,1846
2021-05-22,507,1991
2021-05-23,504,1989
2021-05-24,500,1830
2021-05-25,498,1823
2021-05-26,537,1837
2021-05-27,540,1818
2021-05-28,533,1816
2021-05-29,546,1809
2021-05-30,543,1794
2021-05-31,543,1813
2021-06-01,547,1806
2021-06-02,535,1817
2021-06-03,572,1812
2021-06-04,528,1814
2021-06-05,525,1828
2021-06-06,515,1837
2021-06-07,510,1866
2021-06-08,506,1869
2021-06-09,516,1851
2021-06-10,508,1848
2021-06-11,495,1855
2021-06-12,520,1849
2021-06-13,527,1841
2021-06-14,527,1842
2021-06-15,541,1822
2021-06-16,517,1836
2021-06-17,521,1842
2021-06-18,533,1821
2021-06-19,535,1820
2021-06-20,510,1846
2021-06-21,495,1857
2021-06-22,525,1826
2021-06-23,523,1833
2021-06-24,529,1836
2021-06-25,536,1826
2021-06-26,524,1837
2021-06-27,544,1822
2021-06-28,541,1821
2021-06-29,565,1795
2021-06-30,547,1800
2021-07-01,545,1810
2021-07-02,559,1791
2021-07-03,538,1805
2021-07-04,532,1809
2021-07-05,546,1797
2021-07-06,521,1824
2021-07-07,537,1809
2021-07-08,551,1804
2021-07-09,555,1795
2021-07-10,536,1820
2021-07-11,534,1822
2021-07-12,534,1832
2021-07-13,545,1808
2021-07-14,577,1781
2021-07-15,598,1776
2021-07-16,598,1767
2021-07-17,596,1766
2021-07-18,611,1741
2021-07-19,629,1756
2021-07-20,580,1781
2021-07-21,592,1737
2021-07-22,595,1739
2021-07-23,607,1755
2021-07-24,612,1736
2021-07-25,610,1735
2021-07-26,610,1719
2021-07-27,643,1708
2021-07-28,639,1720
2021-07-29,630,1717
2021-07-30,619,1782
2021-07-31,614,1780
2021-08-01,604,1783
2021-08-02,615,1791
2021-08-03,610,1784
2021-08-04,621,1759
2021-08-05,629,1772
2021-08-06,656,1757
2021-08-07,663,1740
2021-08-08,656,1732
2021-08-09,689,1718
2021-08-10,711,1702
2021-08-11,718,1666
2021-08-12,724,1670
2021-08-13,745,1642
2021-08-14,708,1693
2021-08-15,708,1693
2021-08-16,695,1683
2021-08-17,702,1682
2021-08-18,714,1691
2021-08-19,753,1664
2021-08-20,770,1661
2021-08-21,725,1653
2021-08-22,734,1646
2021-08-23,799,1623
2021-08-24,833,1594
2021-08-25,861,1577
2021-08-26,885,1549
2021-08-27,888,1534
2021-08-28,907,1530
2021-08-29,891,1548
2021-08-30,881,1551
2021-08-31,884,2036
2021-09-01,885,1515
2021-09-02,885,1532
2021-09-03,871,1550
2021-09-04,894,1550
2021-09-05,878,1544
2021-09-06,906,1519
2021-09-07,908,1517
2021-09-08,918,1498
2021-09-09,919,1505
2021-09-10,901,1508
2021-09-11,899,1522
2021-09-12,908,1511
2021-09-13,915,1503
2021-09-14,929,1488
2021-09-15,921,1502
2021-09-16,952,1464
2021-09-17,916,1509
2021-09-18,915,1524
2021-09-19,909,1532
2021-09-20,900,1534
2021-09-21,886,1557
2021-09-22,898,1535
2021-09-23,906,1542
2021-09-24,902,1537
2021-09-25,910,1547
2021-09-26,900,1535
2021-09-27,886,1527
2021-09-28,913,1542
2021-09-29,921,1518
2021-09-30,902,1534
2021-10-01,901,1522
2021-10-02,902,1526
2021-10-03,897,1535
2021-10-04,889,1536
2021-10-05,877,1548
2021-10-06,866,1557
2021-10-07,854,1564
2021-10-08,866,1549
2021-10-09,854,1571
2021-10-10,859,1573
2021-10-11,851,1569
2021-10-12,832,1586
2021-10-13,822,1582
2021-10-14,832,1589
2021-10-15,832,1582
2021-10-16,834,1590
2021-10-17,823,1602
2021-10-18,820,1591
2021-10-19,832,1569
2021-10-20,837,1569
2021-10-21,831,1585
2021-10-22,829,1588
2021-10-23,799,1616
2021-10-24,815,1591
2021-10-25,805,1606
2021-10-26,824,1577
2021-10-27,814,1587
2021-10-28,818,1584
2021-10-29,829,1575
2021-10-30,815,1575
2021-10-31,788,1598
2021-11-01,801,1575
2021-11-02,791,1597
2021-11-03,811,1582
2021-11-04,825,1567
2021-11-05,804,1572
2021-11-06,833,1535
2021-11-07,828,1534
2021-11-08,816,1547
2021-11-09,840,1522
2021-11-10,854,1524
2021-11-11,866,1519
2021-11-12,860,1512
2021-11-13,848,1525
2021-11-14,847,1520
2021-11-15,882,1483
2021-11-16,923,1940
2021-11-17,932,1420
2021-11-18,955,1416
2021-11-19,947,1407
2021-11-20,942,1406
2021-11-21,978,1372
2021-11-22,993,1364
2021-11-23,995,1376
2021-11-24,1027,1342
2021-11-25,1019,1364
2021-11-26,1025,1350
2021-11-27,1011,1363
2021-11-28,1020,1354
2021-11-29,1003,1346
2021-11-30,1010,1354
2021-12-01,1043,1353
2021-12-02,1018,1379
2021-12-03,968,1410
2021-12-04,958,1416
2021-12-05,975,1397
2021-12-06,1013,1381
2021-12-07,1010,1253
2021-12-08,1037,1375
2021-12-09,1037,1210
2021-12-10,1065,1186
2021-12-11,1052,1199
2021-12-12,1052,1191
2021-12-13,1042,1355
2021-12-14,1045,1317
2021-12-15,1011,1210
2021-12-16,1009,1382
2021-12-17,1028,1228
2021-12-18,1000,1268
2021-12-19,998,1293
2021-12-20,997,1245
2021-12-21,1014,1153
2021-12-22,1018,1207
2021-12-23,1024,1181
2021-12-24,1032,1176
2021-12-25,1018,1201
2021-12-26,1005,1206
2021-12-27,983,1203
2021-12-28,1008,1194
2021-12-29,1010,1199
2021-12-30,1000,1191
2021-12-31,1021,1174
2022-01-01,1017,1192
2022-01-02,1004,1176
2022-01-03,986,1204
2022-01-04,989,1154
2022-01-05,984,1154
2022-01-06,966,1146
2022-01-07,984,1188
2022-01-08,938,1196
2022-01-09,947,1193
2022-01-10,935,1215
2022-01-11,920,1207
2022-01-12,962,1198
2022-01-13,943,1192
2022-01-14,919,1234
2022-01-15,910,1233
2022-01-16,887,1260
2022-01-17,888,1320
2022-01-18,880,1306
2022-01-19,868,1287
2022-01-20,865,1290
2022-01-21,875,1278
2022-01-22,853,1278
2022-01-23,854,1284
2022-01-24,844,1291
2022-01-25,862,1277
2022-01-26,858,1291
2022-01-27,868,1289
2022-01-28,844,1297
2022-01-29,841,1288
2022-01-30,851,1264
2022-01-31,852,1262
2022-02-01,850,1266
2022-02-02,847,1261
2022-02-03,841,1282
2022-02-04,820,1291
2022-02-05,805,1293
2022-02-06,779,1310
