Category,value
Apache,572
Cochise,520
Coconino,444
Gila,343
Graham,165
Greenlee,30
La Paz,120
Maricopa,"14,987"
Mohave,"1,304"
Navajo,821
Pima,"3,495"
Pinal,"1,466"
Santa Cruz,214
Yavapai,"1,089"
Yuma,"1,069"
Female,11025
Male,15600
20-44y,1479
45-54y,2121
55-64y,4245
65+,18735
<20y,59
"White, non-Hispanic",14051
Hispanic or Latino,7145
"American Indian or Alaska Native, non-Hispanic",1873
"Black or African American, non-Hispanic",817
"Asian or Pacific Islander, non-Hispanic",315
Other Race,733
Unknown,1705
