date,Cochise_cume,Cochise
2020-12-16 00:00:00,1,
2020-12-17 00:00:00,57,56
2020-12-18 00:00:00,195,138
2020-12-19 00:00:00,269,74
2020-12-20 00:00:00,305,36
2020-12-21 00:00:00,643,338
2020-12-22 00:00:00,1095,452
2020-12-23 00:00:00,1542,447
2020-12-24 00:00:00,1669,127
2020-12-25 00:00:00,1670,1
2020-12-26 00:00:00,1692,22
2020-12-28 00:00:00,1797,105
2020-12-29 00:00:00,1874,77
2020-12-30 00:00:00,2091,217
2020-12-31 00:00:00,2307,216
2021-01-01 00:00:00,2312,5
2021-01-02 00:00:00,2313,1
2021-01-03 00:00:00,2315,2
2021-01-04 00:00:00,2371,56
2021-01-05 00:00:00,2456,85
2021-01-06 00:00:00,2564,108
2021-01-07 00:00:00,2628,64
2021-01-08 00:00:00,2789,161
2021-01-09 00:00:00,3161,372
2021-01-10 00:00:00,3163,2
2021-01-11 00:00:00,3527,364
2021-01-12 00:00:00,3778,251
2021-01-13 00:00:00,4207,429
2021-01-14 00:00:00,4535,328
2021-01-15 00:00:00,5002,467
2021-01-16 00:00:00,5400,398
2021-01-17 00:00:00,5416,16
2021-01-18 00:00:00,5658,242
2021-01-19 00:00:00,6093,435
2021-01-20 00:00:00,6797,704
2021-01-21 00:00:00,7450,653
2021-01-22 00:00:00,7782,332
2021-01-23 00:00:00,8348,566
2021-01-24 00:00:00,8459,111
2021-01-25 00:00:00,8900,441
2021-01-26 00:00:00,9379,479
2021-01-27 00:00:00,10163,784
2021-01-28 00:00:00,11182,1019
2021-01-29 00:00:00,11873,691
2021-01-30 00:00:00,11894,21
2021-01-31 00:00:00,11907,13
2021-02-01 00:00:00,12173,266
2021-02-02 00:00:00,12391,218
2021-02-03 00:00:00,12950,559
2021-02-04 00:00:00,13356,406
2021-02-05 00:00:00,13832,476
2021-02-06 00:00:00,13995,163
2021-02-07 00:00:00,14006,11
2021-02-08 00:00:00,14532,526
2021-02-09 00:00:00,15362,830
2021-02-10 00:00:00,16739,1377
2021-02-11 00:00:00,18696,1957
2021-02-12 00:00:00,20088,1392
2021-02-13 00:00:00,20430,342
2021-02-14 00:00:00,20441,11
2021-02-15 00:00:00,20849,408
2021-02-16 00:00:00,21536,687
2021-02-17 00:00:00,22056,520
2021-02-18 00:00:00,22743,687
2021-02-19 00:00:00,23118,375
2021-02-20 00:00:00,23466,348
2021-02-21 00:00:00,23581,115
2021-02-22 00:00:00,23850,269
2021-02-23 00:00:00,24083,233
2021-02-24 00:00:00,24993,910
2021-02-25 00:00:00,27073,2080
2021-02-26 00:00:00,28542,1469
2021-02-27 00:00:00,29431,889
2021-02-28 00:00:00,29458,27
2021-03-01 00:00:00,29966,508
2021-03-02 00:00:00,30486,520
2021-03-03 00:00:00,31679,1193
2021-03-04 00:00:00,33317,1638
2021-03-05 00:00:00,34384,1067
2021-03-06 00:00:00,35401,1017
2021-03-07 00:00:00,35451,50
2021-03-08 00:00:00,36002,551
2021-03-09 00:00:00,36963,961
2021-03-10 00:00:00,38559,1596
2021-03-11 00:00:00,40629,2070
2021-03-12 00:00:00,42186,1557
2021-03-13 00:00:00,42999,813
2021-03-14 00:00:00,43026,27
2021-03-15 00:00:00,43952,926
2021-03-16 00:00:00,44879,927
2021-03-17 00:00:00,45841,962
2021-03-18 00:00:00,47189,1348
2021-03-19 00:00:00,48201,1012
2021-03-20 00:00:00,49105,904
2021-03-21 00:00:00,49138,33
2021-03-22 00:00:00,49693,555
2021-03-23 00:00:00,50061,368
2021-03-24 00:00:00,51054,993
2021-03-25 00:00:00,53452,2398
2021-03-26 00:00:00,54954,1502
2021-03-27 00:00:00,55988,1034
2021-03-28 00:00:00,56009,21
2021-03-29 00:00:00,56563,554
2021-03-30 00:00:00,57229,666
2021-03-31 00:00:00,58681,1452
2021-04-01 00:00:00,60907,2226
2021-04-02 00:00:00,62260,1353
2021-04-03 00:00:00,63574,1314
2021-04-04 00:00:00,63618,44
2021-04-05 00:00:00,64311,693
2021-04-06 00:00:00,65233,922
2021-04-07 00:00:00,66871,1638
2021-04-08 00:00:00,68536,1665
2021-04-09 00:00:00,69662,1126
2021-04-10 00:00:00,70445,783
2021-04-11 00:00:00,70532,87
2021-04-12 00:00:00,71234,702
2021-04-13 00:00:00,71783,549
2021-04-14 00:00:00,72896,1113
2021-04-15 00:00:00,75045,2149
2021-04-16 00:00:00,76188,1143
2021-04-17 00:00:00,77505,1317
2021-04-18 00:00:00,77543,38
2021-04-19 00:00:00,78185,642
2021-04-20 00:00:00,78696,511
2021-04-21 00:00:00,79656,960
2021-04-22 00:00:00,81110,1454
2021-04-23 00:00:00,82119,1009
2021-04-24 00:00:00,82949,830
2021-04-25 00:00:00,82978,29
2021-04-26 00:00:00,83453,475
2021-04-27 00:00:00,83961,508
2021-04-28 00:00:00,84960,999
2021-04-29 00:00:00,85961,1001
2021-04-30 00:00:00,86633,672
2021-05-01 00:00:00,87088,455
2021-05-02 00:00:00,87109,21
2021-05-03 00:00:00,87401,292
2021-05-04 00:00:00,87850,449
2021-05-05 00:00:00,88767,917
2021-05-06 00:00:00,89754,987
2021-05-07 00:00:00,90440,686
2021-05-08 00:00:00,90859,419
2021-05-09 00:00:00,90872,13
2021-05-10 00:00:00,91173,301
2021-05-11 00:00:00,91465,292
2021-05-12 00:00:00,92173,708
2021-05-13 00:00:00,93349,1176
2021-05-14 00:00:00,93710,361
2021-05-15 00:00:00,93931,221
