date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4310,4495,3776,3545,2378,25
1/10/2021,6580,6491,5651,5483,4988,55
1/11/2021,6892,6770,5921,5768,5382,65
1/12/2021,7219,7031,6186,6032,5908,73
1/13/2021,7436,7269,6429,6281,6366,80
1/14/2021,7739,7578,6747,6577,6799,85
1/15/2021,8354,8155,7326,7144,8127,93
1/16/2021,8594,8349,7510,7308,8407,96
1/17/2021,8676,8408,7556,7365,8543,100
1/18/2021,9019,8714,7878,7656,10119,105
1/19/2021,9389,8998,8204,7981,11793,115
1/2/2021,4482,4619,3879,3658,2510,26
1/20/2021,9882,9540,8717,8464,13941,126
1/21/2021,10283,9982,9211,8946,17061,134
1/22/2021,10972,10670,9960,9690,20122,147
1/23/2021,11248,10905,10153,9891,21913,152
1/24/2021,11391,11034,10264,9998,22240,155
1/25/2021,12105,11678,11004,10757,25512,170
1/26/2021,12818,12254,11661,11408,28558,178
1/27/2021,13540,12847,12321,12129,31748,187
1/28/2021,14373,13489,12996,12855,35095,199
1/29/2021,15290,14217,13725,13611,38190,217
1/3/2021,4571,4710,3952,3714,2565,27
1/30/2021,15937,14649,14077,14012,40913,223
1/31/2021,16107,14760,14193,14150,41666,227
1/4/2021,4907,5033,4215,3998,2831,36
1/5/2021,5242,5357,4477,4290,3156,39
1/6/2021,5657,5696,4900,4657,3499,45
1/7/2021,5957,5934,5109,4936,3919,49
1/8/2021,6230,6222,5395,5217,4183,52
1/9/2021,6482,6395,5564,5405,4915,55
10/1/2021,130526,83491,82877,99954,200438,57601
10/10/2021,131939,84230,83391,100405,200962,58308
10/11/2021,132132,84345,83465,100468,201041,58421
10/12/2021,132249,84398,83498,100486,201083,58476
10/13/2021,132387,84482,83555,100535,201143,58556
10/14/2021,132595,84586,83622,100596,201225,58646
10/15/2021,132831,84693,83737,100669,201291,58741
10/16/2021,132941,84752,83773,100710,201325,58780
10/17/2021,133023,84788,83799,100722,201342,58820
10/18/2021,133209,84895,83866,100785,201400,58885
10/19/2021,133341,84976,83939,100846,201474,58959
10/2/2021,130631,83547,82926,99987,200473,57672
10/20/2021,133491,85041,84011,100903,201531,59034
10/21/2021,133644,85122,84103,100961,201581,59108
10/22/2021,133836,85231,84179,101042,201716,59187
10/23/2021,133939,85281,84217,101089,201807,59243
10/24/2021,133994,85306,84235,101113,201864,59285
10/25/2021,134167,85385,84295,101176,202071,59346
10/26/2021,134318,85493,84377,101268,202280,59431
10/27/2021,134526,85631,84477,101353,202486,59660
10/28/2021,134697,85707,84544,101435,202697,59715
10/29/2021,134894,85815,84629,101534,202878,59794
10/3/2021,130711,83583,82951,100002,200499,57711
10/30/2021,134970,85857,84653,101570,202981,59829
10/31/2021,135015,85883,84673,101586,203025,59846
10/4/2021,130937,83683,83033,100053,200586,57802
10/5/2021,131140,83776,83093,100123,200674,57880
10/6/2021,131353,83905,83164,100182,200744,57973
10/7/2021,131498,84001,83219,100247,200795,58057
10/8/2021,131760,84118,83308,100318,200866,58173
10/9/2021,131864,84182,83361,100372,200913,58264
11/1/2021,135205,85999,84767,101680,203234,59911
11/10/2021,136680,86806,85354,102312,204622,65273
11/11/2021,136823,86874,85432,102393,204817,66193
11/12/2021,137013,86969,85521,102477,204981,67158
11/13/2021,137105,87046,85579,102536,205055,68599
11/14/2021,137191,87116,85622,102574,205113,69601
11/15/2021,137408,87241,85736,102666,205259,70695
11/16/2021,137603,87345,85825,102757,205441,71533
11/17/2021,137785,87459,85899,102840,205658,72400
11/18/2021,137995,87572,85977,102928,205839,73039
11/19/2021,138230,87714,86072,103051,205999,73997
11/2/2021,135401,86109,84842,101751,203427,60009
11/20/2021,138351,87816,86149,103128,206062,74860
11/21/2021,138450,87878,86194,103182,206119,75191
11/22/2021,138634,87979,86281,103317,206286,75712
11/23/2021,138859,88097,86387,103438,206460,76423
11/24/2021,139053,88235,86493,103559,206620,77261
11/25/2021,139061,88237,86494,103560,206620,77262
11/26/2021,139198,88316,86558,103638,206710,77677
11/27/2021,139305,88408,86621,103708,206775,78130
11/28/2021,139398,88462,86675,103771,206830,78337
11/29/2021,139557,88550,86768,103861,206975,78745
11/3/2021,135564,86201,84906,101820,203557,60171
11/30/2021,139727,88656,86853,103973,207124,79300
11/4/2021,135721,86280,84975,101886,203721,60313
11/5/2021,135931,86381,85060,101988,203880,60552
11/6/2021,136029,86442,85093,102037,203992,61205
11/7/2021,136116,86495,85132,102078,204049,62126
11/8/2021,136338,86610,85226,102171,204256,63299
11/9/2021,136512,86697,85299,102245,204486,64253
12/1/2020,15,10,15,12,21,
12/1/2021,139938,88804,86947,104096,207277,79758
12/10/2020,18,14,22,18,32,
12/11/2020,18,16,25,20,34,
12/12/2020,18,16,26,22,36,
12/13/2020,19,16,26,24,36,
12/14/2020,19,19,29,24,37,
12/15/2020,22,24,34,31,44,
12/16/2020,24,27,36,32,46,
12/17/2020,267,338,344,290,132,
12/18/2020,575,702,641,560,252,1
12/19/2020,778,910,784,666,315,1
12/2/2020,16,10,17,12,21,
12/2/2021,140109,88910,87053,104222,207404,80181
12/20/2020,780,912,789,671,324,1
12/21/2020,1189,1285,1077,952,457,3
12/22/2020,1584,1675,1415,1239,594,5
12/23/2020,2079,2159,1811,1552,773,5
12/24/2020,2334,2444,2009,1768,864,7
12/25/2020,2335,2445,2009,1770,867,7
12/26/2020,2535,2654,2156,1925,943,8
12/27/2020,2581,2700,2185,1958,959,8
12/28/2020,3043,3144,2552,2286,1149,10
12/29/2020,3491,3609,2901,2675,1400,16
12/3/2020,16,11,19,14,23,
12/3/2021,140279,89029,87148,104334,207566,80665
12/30/2020,3928,4071,3353,3105,1679,17
12/31/2020,4242,4426,3667,3419,1941,22
12/4/2020,16,12,20,14,23,
12/4/2021,140369,89134,87200,104415,207627,81028
12/5/2020,17,12,20,14,23,
12/5/2021,140436,89201,87238,104457,207661,81274
12/6/2020,17,12,20,15,24,
12/7/2020,17,12,20,17,25,
12/8/2020,17,12,20,18,26,
12/9/2020,18,14,22,18,30,
2/1/2021,16738,15324,14790,14802,44153,235
2/10/2021,21077,18444,18291,19040,70009,342
2/11/2021,21415,18703,18528,19353,74187,353
2/12/2021,21781,18991,18832,19774,78000,362
2/13/2021,22000,19135,18986,19981,81249,374
2/14/2021,22071,19166,19045,20031,81734,380
2/15/2021,22232,19280,19159,20174,83594,382
2/16/2021,22436,19409,19338,20404,85820,390
2/17/2021,22741,19620,19546,20675,87940,406
2/18/2021,22964,19782,19696,20878,89869,410
2/19/2021,23213,19925,19880,21070,90845,417
2/2/2021,17405,15890,15456,15478,46598,247
2/20/2021,23490,20112,20047,21247,91600,431
2/21/2021,23526,20144,20091,21289,91869,433
2/22/2021,23664,20215,20164,21405,92872,437
2/23/2021,23822,20312,20280,21560,94440,442
2/24/2021,24134,20500,20468,21821,96379,476
2/25/2021,24339,20667,20621,22092,99273,486
2/26/2021,24707,20921,20908,22609,102696,502
2/27/2021,24899,21078,21084,22861,105114,510
2/28/2021,25007,21162,21157,23001,107138,521
2/3/2021,17982,16379,15987,16099,49722,258
2/4/2021,18537,16805,16422,16688,53149,273
2/5/2021,19278,17352,17063,17526,57024,292
2/6/2021,19768,17632,17361,17900,58757,303
2/7/2021,19842,17678,17414,17980,59366,305
2/8/2021,20220,17927,17706,18326,62134,311
2/9/2021,20614,18159,17990,18650,65398,323
3/1/2021,25279,21377,21412,23471,110093,552
3/10/2021,28477,23632,23870,31086,137154,767
3/11/2021,28987,24013,24320,32665,140694,814
3/12/2021,29661,24440,24801,34141,144142,867
3/13/2021,30043,24704,25132,35287,145729,901
3/14/2021,30370,24888,25343,36095,146964,934
3/15/2021,30765,25220,25672,38335,149263,977
3/16/2021,31513,25771,26288,40675,151948,1049
3/17/2021,32583,26601,27098,43496,154455,1126
3/18/2021,33596,27361,27899,46277,156744,1202
3/19/2021,34861,28294,28817,49047,158735,1294
3/2/2021,25541,21575,21616,23833,113206,576
3/20/2021,35697,28815,29439,50807,159876,1353
3/21/2021,36352,29402,30076,52224,160639,1434
3/22/2021,37512,30118,30852,54150,162383,1537
3/23/2021,38916,31104,31856,56362,164208,1671
3/24/2021,40716,32328,33076,58396,165913,1941
3/25/2021,42791,33913,34722,60628,167525,2296
3/26/2021,44932,35488,36322,62716,168980,2751
3/27/2021,46209,36378,37223,63923,169725,3092
3/28/2021,47055,37025,37942,64351,169947,3387
3/29/2021,49161,38501,39364,65174,170523,3954
3/3/2021,25949,21865,21916,24448,117200,605
3/30/2021,51483,40060,40898,66225,171523,4572
3/31/2021,53927,41541,42597,67508,172618,5229
3/4/2021,26255,22070,22142,25190,120359,623
3/5/2021,26652,22347,22446,26104,123437,655
3/6/2021,26922,22553,22673,26806,125753,675
3/7/2021,27177,22741,22872,27455,127605,684
3/8/2021,27499,22939,23110,28473,130544,695
3/9/2021,27852,23231,23404,29670,133588,722
4/1/2021,56027,42779,44063,68358,173559,5872
4/10/2021,72669,52063,54219,75741,180400,10572
4/11/2021,73530,52474,54668,76094,180661,10834
