Category,value
Apache,514
Cochise,408
Coconino,390
Gila,280
Graham,137
Greenlee,22
La Paz,102
Maricopa,"12,920"
Mohave,"1,057"
Navajo,687
Pima,"2,928"
Pinal,"1,190"
Santa Cruz,196
Yavapai,827
Yuma,931
Female,9328
Male,13248
20-44y,1210
45-54y,1734
55-64y,3516
65+,16079
<20y,50
"White, non-Hispanic",11660
Hispanic or Latino,6259
"American Indian or Alaska Native, non-Hispanic",1711
"Black or African American, non-Hispanic",694
"Asian or Pacific Islander, non-Hispanic",282
Other Race,625
Unknown,1358
