Category,value
tests,809092
YUMA,13279
YAVAPAI,23514
SANTA CRUZ,2499
PINAL,49465
PIMA,71068
NAVAJO,6608
MOHAVE,19217
MARICOPA,580237
LA PAZ,1949
GREENLEE,321
GRAHAM,1746
GILA,8132
COCONINO,10533
COCHISE,7850
APACHE,1751
Unknown,747
65 years and older,194758
55 - 64 years,160070
45 - 54 years,146149
20 - 44 years,269435
Less than 20 years,37933
positive,0.241703044894771
