date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,311,414,437,644,423,8
1/10/2021,567,701,803,1121,945,12
1/11/2021,576,709,812,1137,972,13
1/12/2021,595,734,841,1184,1062,13
1/13/2021,639,782,928,1277,1247,14
1/14/2021,672,827,983,1349,1360,16
1/15/2021,687,838,995,1369,1408,16
1/16/2021,708,870,1039,1416,1553,18
1/17/2021,710,872,1042,1421,1569,19
1/18/2021,717,875,1055,1441,1718,20
1/19/2021,750,929,1107,1517,1871,22
1/2/2021,331,447,461,676,433,8
1/20/2021,792,979,1172,1611,2147,22
1/21/2021,915,1136,1348,1852,2831,23
1/22/2021,1051,1271,1522,2108,3760,25
1/23/2021,1092,1326,1576,2214,4897,28
1/24/2021,1108,1343,1600,2291,6088,29
1/25/2021,1131,1367,1635,2366,6733,29
1/26/2021,1142,1379,1664,2412,7089,29
1/27/2021,1215,1432,1736,2598,8342,30
1/28/2021,1265,1502,1844,2801,9726,37
1/29/2021,1344,1560,1940,2977,10954,42
1/3/2021,331,449,461,677,435,8
1/30/2021,1393,1586,1997,3063,11588,43
1/31/2021,1430,1613,2047,3148,12287,46
1/4/2021,340,454,470,689,441,8
1/5/2021,347,462,485,709,462,8
1/6/2021,355,469,497,733,497,9
1/7/2021,439,567,639,870,695,10
1/8/2021,533,671,765,1080,898,12
1/9/2021,566,700,802,1121,942,12
10/1/2021,10897,7945,10416,19775,54024,4605
10/10/2021,11041,8015,10493,19853,54148,4648
10/11/2021,11057,8026,10496,19868,54177,4654
10/12/2021,11067,8029,10503,19875,54188,4664
10/13/2021,11082,8034,10510,19885,54200,4678
10/14/2021,11099,8047,10520,19902,54224,4681
10/15/2021,11119,8054,10528,19914,54244,4688
10/16/2021,11130,8059,10533,19920,54253,4698
10/17/2021,11144,8067,10544,19924,54259,4702
10/18/2021,11160,8074,10549,19932,54274,4707
10/19/2021,11180,8083,10554,19942,54285,4716
10/2/2021,10916,7951,10424,19783,54037,4611
10/20/2021,11197,8089,10559,19952,54311,4718
10/21/2021,11219,8098,10569,19968,54325,4724
10/22/2021,11236,8106,10582,19989,54369,4730
10/23/2021,11237,8108,10593,19998,54408,4732
10/24/2021,11242,8113,10597,20002,54427,4736
10/25/2021,11256,8120,10607,20014,54505,4742
10/26/2021,11262,8130,10617,20029,54593,4746
10/27/2021,11277,8134,10628,20045,54680,4750
10/28/2021,11300,8143,10637,20061,54766,4756
10/29/2021,11318,8155,10650,20069,54851,4762
10/3/2021,10924,7952,10425,19785,54040,4614
10/30/2021,11331,8157,10653,20076,54868,4763
10/31/2021,11335,8162,10654,20080,54885,4764
10/4/2021,10942,7961,10442,19797,54056,4617
10/5/2021,10963,7970,10451,19812,54082,4621
10/6/2021,10980,7981,10459,19820,54102,4623
10/7/2021,10994,7994,10468,19829,54114,4625
10/8/2021,11014,8003,10481,19844,54137,4643
10/9/2021,11029,8012,10489,19849,54144,4647
11/1/2021,11348,8171,10662,20097,54953,4770
11/2/2021,11367,8180,10673,20112,55005,4775
11/3/2021,11378,8192,10687,20131,55060,4782
11/4/2021,11394,8198,10696,20140,55115,4784
11/5/2021,11401,8202,10702,20155,55143,4789
12/1/2020,,,,,1,
12/10/2020,1,,,,1,
12/11/2020,1,,,,1,
12/12/2020,1,,,,2,
12/13/2020,1,,,,2,
12/14/2020,1,,,,2,
12/15/2020,1,,,,2,
12/16/2020,1,1,1,,2,
12/17/2020,1,1,2,,4,
12/18/2020,1,1,2,,4,
12/19/2020,2,1,2,,6,
12/2/2020,,,,,1,
12/20/2020,2,1,2,3,6,
12/21/2020,2,3,2,4,6,
12/22/2020,34,73,103,118,55,
12/23/2020,109,165,181,266,101,1
12/24/2020,119,176,189,279,108,2
12/25/2020,123,179,193,281,111,2
12/26/2020,128,185,200,296,116,2
12/27/2020,131,188,202,301,117,2
12/28/2020,147,193,210,322,143,2
12/29/2020,183,238,267,395,233,5
12/3/2020,,,,,1,
12/30/2020,286,394,405,591,384,8
12/31/2020,308,412,435,638,409,8
12/4/2020,,,,,1,
12/5/2020,,,,,1,
12/6/2020,1,,,,1,
12/7/2020,1,,,,1,
12/8/2020,1,,,,1,
12/9/2020,1,,,,1,
2/1/2021,1484,1666,2110,3297,13791,52
2/10/2021,1816,1965,2509,4217,24655,65
2/11/2021,1855,2004,2560,4330,25848,66
2/12/2021,1896,2044,2614,4441,27012,68
2/13/2021,1941,2081,2656,4552,27859,72
2/14/2021,1974,2105,2695,4626,28637,73
2/15/2021,1997,2119,2720,4689,29217,73
2/16/2021,2031,2153,2756,4773,30145,75
2/17/2021,2049,2175,2772,4815,30530,75
2/18/2021,2055,2181,2779,4822,30678,75
2/19/2021,2067,2187,2804,4831,30770,75
2/2/2021,1553,1725,2184,3442,15361,54
2/20/2021,2071,2189,2809,4840,30824,75
2/21/2021,2078,2189,2811,4843,30873,76
2/22/2021,2083,2190,2825,4857,30925,76
2/23/2021,2116,2214,2859,4932,31402,78
2/24/2021,2180,2279,2933,5109,32625,79
2/25/2021,2240,2324,2995,5225,33295,79
2/26/2021,2276,2363,3033,5327,33653,80
2/27/2021,2290,2373,3045,5351,33833,81
2/28/2021,2296,2376,3053,5371,33911,81
2/3/2021,1597,1759,2243,3589,17044,55
2/4/2021,1629,1795,2295,3658,18124,57
2/5/2021,1673,1834,2329,3735,19056,58
2/6/2021,1712,1861,2371,3824,19905,59
2/7/2021,1733,1878,2396,3886,20768,60
2/8/2021,1753,1904,2426,3980,21962,62
2/9/2021,1775,1928,2461,4075,23178,63
3/1/2021,2310,2390,3071,5436,34102,82
3/10/2021,2497,2543,3302,6672,36907,94
3/11/2021,2541,2589,3349,6931,37484,99
3/12/2021,2583,2623,3405,7162,37995,100
3/13/2021,2602,2638,3424,7297,38213,100
3/14/2021,2624,2658,3443,7460,38531,103
3/15/2021,2695,2692,3506,7731,39248,108
3/16/2021,2746,2730,3548,7954,39823,112
3/17/2021,2835,2757,3614,8325,40423,118
3/18/2021,2880,2804,3684,8593,41012,122
3/19/2021,2926,2846,3741,8903,41568,131
3/2/2021,2337,2406,3086,5484,34338,83
3/20/2021,2988,2893,3818,9298,41886,137
3/21/2021,3001,2897,3825,9400,41970,139
3/22/2021,3087,2944,3925,9825,42330,150
3/23/2021,3116,2967,3964,10009,42561,154
3/24/2021,3157,3007,4022,10249,42847,157
3/25/2021,3275,3066,4134,10663,43351,183
3/26/2021,3399,3173,4291,11043,43757,207
3/27/2021,3520,3242,4406,11260,43939,237
3/28/2021,3548,3262,4428,11281,43966,247
3/29/2021,3699,3371,4589,11459,44122,285
3/3/2021,2349,2422,3120,5557,34637,83
3/30/2021,3831,3470,4725,11632,44319,309
3/31/2021,3976,3564,4869,11830,44548,345
3/4/2021,2366,2437,3134,5645,34813,85
3/5/2021,2393,2446,3158,5799,35168,85
3/6/2021,2402,2449,3163,5868,35284,85
3/7/2021,2407,2455,3167,5965,35395,86
3/8/2021,2426,2472,3201,6171,35733,88
3/9/2021,2457,2513,3247,6391,36282,91
4/1/2021,4108,3664,5017,12039,44920,373
4/10/2021,5155,4341,6049,13525,46811,596
4/11/2021,5171,4359,6072,13554,46843,602
4/12/2021,5250,4399,6145,13672,47009,634
4/13/2021,5313,4431,6198,13757,47115,646
4/14/2021,5410,4490,6278,13873,47270,661
4/15/2021,5466,4546,6341,14020,47429,671
4/16/2021,5547,4613,6406,14144,47572,691
4/17/2021,5627,4676,6460,14285,47771,705
4/18/2021,5714,4704,6513,14419,47857,731
4/19/2021,5795,4748,6570,14622,48007,739
4/2/2021,4259,3768,5169,12239,45169,414
4/20/2021,5835,4781,6616,14698,48101,750
4/21/2021,5950,4843,6699,14873,48280,773
4/22/2021,6073,4951,6812,15018,48460,797
4/23/2021,6138,5027,6898,15162,48604,844
4/24/2021,6254,5068,6974,15312,48728,872
4/25/2021,6340,5112,7028,15420,48801,898
4/26/2021,6410,5160,7089,15518,48939,921
