date,deaths
2021-11-04,2
2021-11-03,5
2021-11-02,8
2021-11-01,13
2021-10-31,12
2021-10-30,23
2021-10-29,18
2021-10-28,19
2021-10-27,21
2021-10-26,30
2021-10-25,22
2021-10-24,30
2021-10-23,28
2021-10-22,38
2021-10-21,24
2021-10-20,24
2021-10-19,26
2021-10-18,33
2021-10-17,27
2021-10-16,34
2021-10-15,29
2021-10-14,36
2021-10-13,42
2021-10-12,33
2021-10-11,37
2021-10-10,40
2021-10-09,33
2021-10-08,36
2021-10-07,31
2021-10-06,37
2021-10-05,29
2021-10-04,33
2021-10-03,49
2021-10-02,35
2021-10-01,41
2021-09-30,26
2021-09-29,54
2021-09-28,43
2021-09-27,37
2021-09-26,36
2021-09-25,34
2021-09-24,40
2021-09-23,50
2021-09-22,43
2021-09-21,46
2021-09-20,40
2021-09-19,54
2021-09-18,38
2021-09-17,40
2021-09-16,41
2021-09-15,37
2021-09-14,40
2021-09-13,45
2021-09-12,39
2021-09-11,45
2021-09-10,39
2021-09-09,48
2021-09-08,42
2021-09-07,40
2021-09-06,36
2021-09-05,43
2021-09-04,46
2021-09-03,41
2021-09-02,42
2021-09-01,48
2021-08-31,27
2021-08-30,50
2021-08-29,33
2021-08-28,35
2021-08-27,37
2021-08-26,31
2021-08-25,21
2021-08-24,43
2021-08-23,29
2021-08-22,32
2021-08-21,32
2021-08-20,41
2021-08-19,31
2021-08-18,23
2021-08-17,22
2021-08-16,22
2021-08-15,22
2021-08-14,28
2021-08-13,35
2021-08-12,23
2021-08-11,25
2021-08-10,26
2021-08-09,25
2021-08-08,15
2021-08-07,12
2021-08-06,29
2021-08-05,23
2021-08-04,20
2021-08-03,15
2021-08-02,13
2021-08-01,26
2021-07-31,28
2021-07-30,25
2021-07-29,14
2021-07-28,14
2021-07-27,18
2021-07-26,13
2021-07-25,11
2021-07-24,14
2021-07-23,11
2021-07-22,12
2021-07-21,7
2021-07-20,16
2021-07-19,9
2021-07-18,12
2021-07-17,7
2021-07-16,12
2021-07-15,8
2021-07-14,6
2021-07-13,6
2021-07-12,12
2021-07-11,8
2021-07-10,7
2021-07-09,2
2021-07-08,12
2021-07-07,10
2021-07-06,3
2021-07-05,10
2021-07-04,3
2021-07-03,8
2021-07-02,5
