date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,314,415,431,647,409,8
1/10/2021,570,701,803,1117,923,12
1/11/2021,579,710,811,1135,949,13
1/12/2021,598,736,839,1185,1035,13
1/13/2021,643,784,928,1276,1218,14
1/14/2021,676,829,983,1349,1330,16
1/15/2021,691,840,996,1368,1376,16
1/16/2021,713,870,1040,1415,1520,18
1/17/2021,715,872,1043,1419,1536,19
1/18/2021,722,875,1056,1439,1684,20
1/19/2021,754,930,1109,1517,1834,22
1/2/2021,334,447,455,679,419,8
1/20/2021,796,980,1175,1614,2105,22
1/21/2021,919,1138,1353,1852,2787,23
1/22/2021,1055,1275,1528,2108,3712,25
1/23/2021,1095,1332,1582,2215,4846,29
1/24/2021,1111,1349,1607,2293,6036,30
1/25/2021,1134,1374,1641,2370,6677,30
1/26/2021,1145,1387,1669,2418,7031,30
1/27/2021,1218,1441,1741,2604,8281,32
1/28/2021,1269,1510,1851,2810,9661,39
1/29/2021,1348,1568,1947,2992,10880,44
1/3/2021,334,449,455,680,420,8
1/30/2021,1397,1596,2003,3080,11512,45
1/31/2021,1434,1624,2053,3166,12211,48
1/4/2021,343,454,467,688,426,8
1/5/2021,350,462,482,708,446,8
1/6/2021,358,469,494,732,481,9
1/7/2021,442,568,636,869,677,10
1/8/2021,536,672,765,1075,878,12
1/9/2021,569,700,802,1117,920,12
12/1/2020,,,,,1,
12/10/2020,1,,,,1,
12/11/2020,1,,,,1,
12/12/2020,1,,,,2,
12/13/2020,1,,,,2,
12/14/2020,1,,,,2,
12/15/2020,1,,,,2,
12/16/2020,1,1,1,,2,
12/17/2020,1,1,1,,4,
12/18/2020,1,1,1,,4,
12/19/2020,2,1,1,,6,
12/2/2020,,,,,1,
12/20/2020,2,1,1,3,6,
12/21/2020,2,3,1,4,6,
12/22/2020,34,75,99,120,53,
12/23/2020,109,169,177,266,99,1
12/24/2020,119,180,186,279,105,2
12/25/2020,123,183,190,282,107,2
12/26/2020,128,189,197,297,112,2
12/27/2020,131,192,199,302,113,2
12/28/2020,147,196,207,323,138,2
12/29/2020,186,239,263,398,226,5
12/3/2020,,,,,1,
12/30/2020,290,395,399,595,375,8
12/31/2020,312,413,429,641,396,8
12/4/2020,,,,,1,
12/5/2020,,,,,1,
12/6/2020,1,,,,1,
12/7/2020,1,,,,1,
12/8/2020,1,,,,1,
12/9/2020,1,,,,1,
2/1/2021,1488,1677,2116,3318,13706,53
2/10/2021,1822,1973,2514,4250,24537,68
2/11/2021,1859,2012,2565,4362,25725,70
2/12/2021,1900,2052,2619,4474,26886,72
2/13/2021,1946,2088,2662,4593,27725,76
2/14/2021,1979,2112,2702,4668,28502,77
2/15/2021,2002,2127,2726,4732,29080,77
2/16/2021,2036,2160,2765,4814,30006,79
2/17/2021,2055,2181,2781,4856,30391,79
2/18/2021,2061,2186,2788,4864,30538,80
2/19/2021,2072,2192,2811,4872,30630,80
2/2/2021,1557,1734,2190,3464,15269,56
2/20/2021,2076,2194,2816,4882,30683,80
2/21/2021,2083,2194,2818,4885,30732,81
2/22/2021,2088,2195,2830,4899,30783,81
2/23/2021,2121,2219,2864,4976,31258,83
2/24/2021,2185,2284,2939,5160,32474,84
2/25/2021,2245,2331,3000,5280,33138,84
2/26/2021,2281,2370,3039,5385,33493,85
2/27/2021,2295,2380,3051,5410,33672,86
2/28/2021,2301,2383,3059,5430,33750,86
2/3/2021,1601,1768,2250,3614,16946,57
2/4/2021,1633,1805,2301,3686,18018,59
2/5/2021,1679,1843,2334,3765,18946,60
2/6/2021,1717,1870,2377,3854,19794,62
2/7/2021,1739,1886,2403,3915,20657,63
2/8/2021,1759,1912,2433,4011,21848,65
2/9/2021,1781,1936,2467,4107,23062,66
3/1/2021,2315,2396,3075,5490,33928,87
3/10/2021,2501,2551,3307,6749,36699,100
3/11/2021,2546,2597,3355,7007,37275,105
3/12/2021,2586,2632,3411,7244,37778,108
3/13/2021,2606,2646,3430,7380,37994,108
3/14/2021,2628,2666,3450,7544,38310,111
3/15/2021,2698,2701,3511,7821,39018,117
3/16/2021,2750,2737,3554,8049,39590,122
3/17/2021,2838,2764,3619,8424,40185,129
3/18/2021,2883,2812,3689,8696,40762,133
3/19/2021,2929,2854,3748,9011,41309,142
3/2/2021,2342,2412,3092,5536,34164,88
