date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-03-18 00:00:00,9517,444,0.0466533571503625,728.0,365.0,0.5013736263736264,40.0,0.0,0.0,2.0,0.0,0.0,130.0,4.0,0.0307692307692308,16.0,9.0,0.5625,225.0,13.0,0.0577777777777778,15.0,8.0,0.5333333333333334,64.0,5.0,0.078125,2.0,1.0,0.5,507.0,34.0,0.0670611439842209,42.0,20.0,0.4761904761904762,1429.0,55.0,0.0384884534639608,52.0,32.0,0.6153846153846154,88.0,4.0,0.0454545454545455,,,,242.0,12.0,0.0495867768595041,27.0,11.0,0.4074074074074074,5571.0,285.0,0.0511577813677975,543.0,273.0,0.5027624309392266,7.0,0.0,0.0,,,,6.0,0.0,0.0,,,,35.0,2.0,0.0571428571428571,10.0,4.0,0.4,205.0,6.0,0.0292682926829268,3.0,2.0,0.6666666666666666,107.0,4.0,0.0373831775700935,7.0,1.0,0.1428571428571429
2021-03-17 00:00:00,9758,433,0.0443738470998155,781.0,388.0,0.4967989756722152,40.0,0.0,0.0,1.0,1.0,1.0,156.0,7.0,0.0448717948717949,39.0,25.0,0.6410256410256412,227.0,8.0,0.0352422907488987,18.0,8.0,0.4444444444444444,52.0,0.0,0.0,3.0,1.0,0.3333333333333333,562.0,28.0,0.0498220640569395,56.0,27.0,0.4821428571428572,1354.0,54.0,0.0398818316100443,41.0,20.0,0.4878048780487806,80.0,1.0,0.0125,6.0,5.0,0.8333333333333334,294.0,7.0,0.0238095238095238,19.0,10.0,0.5263157894736842,5619.0,295.0,0.0525004449190247,567.0,274.0,0.4832451499118166,7.0,1.0,0.1428571428571429,,,,,,,,,,39.0,1.0,0.0256410256410256,1.0,0.0,0.0,201.0,2.0,0.0099502487562189,6.0,5.0,0.8333333333333334,123.0,8.0,0.0650406504065041,14.0,7.0,0.5
2021-03-16 00:00:00,10737,477,0.0444258172673931,880.0,428.0,0.4863636363636364,26.0,1.0,0.0384615384615385,2.0,1.0,0.5,219.0,10.0,0.045662100456621,34.0,17.0,0.5,258.0,6.0,0.0232558139534884,13.0,5.0,0.3846153846153847,83.0,4.0,0.0481927710843374,2.0,2.0,1.0,555.0,39.0,0.0702702702702703,41.0,28.0,0.6829268292682928,1398.0,48.0,0.0343347639484979,51.0,25.0,0.4901960784313726,94.0,4.0,0.0425531914893617,2.0,1.0,0.5,352.0,19.0,0.0539772727272727,18.0,5.0,0.2777777777777778,6214.0,302.0,0.0485999356292243,661.0,316.0,0.4780635400907716,6.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,40.0,0.0,0.0,4.0,3.0,0.75,230.0,10.0,0.0434782608695652,25.0,13.0,0.52,126.0,6.0,0.0476190476190476,11.0,7.0,0.6363636363636364
2021-03-15 00:00:00,11581,558,0.0481823676711856,599.0,306.0,0.5108514190317196,34.0,1.0,0.0294117647058824,,,,244.0,11.0,0.0450819672131148,10.0,6.0,0.6,262.0,12.0,0.0458015267175573,18.0,10.0,0.5555555555555556,47.0,3.0,0.0638297872340426,2.0,1.0,0.5,835.0,40.0,0.0479041916167665,40.0,21.0,0.525,1548.0,56.0,0.0361757105943152,39.0,16.0,0.4102564102564103,77.0,2.0,0.025974025974026,3.0,3.0,1.0,277.0,17.0,0.0613718411552347,11.0,4.0,0.3636363636363637,6809.0,358.0,0.0525774709942723,453.0,233.0,0.5143487858719646,10.0,3.0,0.3,,,,2.0,0.0,0.0,,,,66.0,4.0,0.0606060606060606,3.0,1.0,0.3333333333333333,192.0,9.0,0.046875,5.0,2.0,0.4,114.0,9.0,0.0789473684210526,7.0,4.0,0.5714285714285714
2021-03-14 00:00:00,5078,269,0.0529736116581331,134.0,66.0,0.4925373134328358,11.0,1.0,0.0909090909090909,,,,37.0,1.0,0.027027027027027,,,,101.0,7.0,0.0693069306930693,,,,10.0,0.0,0.0,,,,372.0,16.0,0.043010752688172,3.0,1.0,0.3333333333333333,648.0,24.0,0.037037037037037,5.0,2.0,0.4,42.0,0.0,0.0,1.0,1.0,1.0,199.0,8.0,0.0402010050251256,,,,3123.0,192.0,0.0614793467819404,124.0,61.0,0.4919354838709678,5.0,1.0,0.2,,,,,,,,,,12.0,0.0,0.0,,,,60.0,3.0,0.05,,,,40.0,2.0,0.05,,,
2021-03-13 00:00:00,5481,327,0.0596606458675424,299.0,148.0,0.4949832775919732,16.0,0.0,0.0,,,,46.0,4.0,0.0869565217391304,3.0,2.0,0.6666666666666666,94.0,2.0,0.0212765957446809,2.0,0.0,0.0,11.0,0.0,0.0,,,,350.0,14.0,0.04,22.0,6.0,0.2727272727272727,660.0,38.0,0.0575757575757576,6.0,4.0,0.6666666666666666,20.0,1.0,0.05,,,,120.0,15.0,0.125,,,,3653.0,232.0,0.0635094442923624,241.0,123.0,0.5103734439834026,6.0,0.0,0.0,,,,2.0,0.0,0.0,,,,16.0,0.0,0.0,,,,94.0,5.0,0.0531914893617021,19.0,11.0,0.5789473684210528,51.0,0.0,0.0,,,
2021-03-12 00:00:00,10173,452,0.0444313378551067,746.0,336.0,0.450402144772118,56.0,5.0,0.0892857142857143,,,,157.0,5.0,0.0318471337579618,18.0,9.0,0.5,174.0,4.0,0.0229885057471264,13.0,4.0,0.3076923076923077,42.0,3.0,0.0714285714285714,,,,641.0,26.0,0.0405616224648986,54.0,17.0,0.3148148148148149,1613.0,46.0,0.0285182889026658,56.0,22.0,0.3928571428571429,98.0,5.0,0.0510204081632653,4.0,2.0,0.5,373.0,17.0,0.0455764075067024,18.0,11.0,0.6111111111111112,5789.0,296.0,0.0511314562100536,555.0,262.0,0.4720720720720722,9.0,0.0,0.0,,,,1.0,0.0,0.0,,,,47.0,3.0,0.0638297872340426,,,,196.0,9.0,0.0459183673469388,2.0,1.0,0.5,109.0,13.0,0.1192660550458716,7.0,1.0,0.1428571428571429
2021-03-11 00:00:00,11061,479,0.0433053069342736,735.0,370.0,0.5034013605442178,36.0,0.0,0.0,3.0,3.0,1.0,278.0,11.0,0.039568345323741,9.0,5.0,0.5555555555555556,193.0,3.0,0.0155440414507772,11.0,1.0,0.0909090909090909,46.0,3.0,0.0652173913043478,1.0,0.0,0.0,959.0,49.0,0.0510948905109489,49.0,23.0,0.4693877551020408,1560.0,53.0,0.033974358974359,42.0,24.0,0.5714285714285714,168.0,7.0,0.0416666666666667,7.0,2.0,0.2857142857142857,375.0,22.0,0.0586666666666667,7.0,2.0,0.2857142857142857,6163.0,282.0,0.0457569365568717,561.0,292.0,0.520499108734403,12.0,0.0,0.0,,,,2.0,0.0,0.0,,,,44.0,3.0,0.0681818181818182,3.0,1.0,0.3333333333333333,185.0,12.0,0.0648648648648649,22.0,11.0,0.5,231.0,13.0,0.0562770562770563,13.0,5.0,0.3846153846153847
2021-03-10 00:00:00,11587,502,0.0433244152930008,932.0,409.0,0.4388412017167382,39.0,0.0,0.0,,,,137.0,11.0,0.0802919708029197,17.0,12.0,0.7058823529411766,238.0,4.0,0.0168067226890756,26.0,15.0,0.576923076923077,54.0,2.0,0.037037037037037,1.0,0.0,0.0,1073.0,39.0,0.0363466915191053,37.0,15.0,0.4054054054054055,1466.0,59.0,0.0402455661664393,64.0,23.0,0.359375,119.0,7.0,0.0588235294117647,4.0,2.0,0.5,384.0,25.0,0.0651041666666667,16.0,8.0,0.5,6807.0,308.0,0.0452475392977817,716.0,310.0,0.4329608938547486,18.0,0.0,0.0,2.0,2.0,1.0,,,,1.0,0.0,0.0,46.0,6.0,0.1304347826086957,3.0,1.0,0.3333333333333333,254.0,11.0,0.0433070866141732,30.0,16.0,0.5333333333333334,126.0,5.0,0.0396825396825397,7.0,4.0,0.5714285714285714
2021-03-09 00:00:00,12280,541,0.0440553745928339,796.0,366.0,0.4597989949748744,52.0,2.0,0.0384615384615385,,,,217.0,3.0,0.0138248847926267,15.0,7.0,0.4666666666666668,273.0,11.0,0.0402930402930403,38.0,16.0,0.4210526315789474,42.0,4.0,0.0952380952380952,2.0,1.0,0.5,1297.0,44.0,0.0339244410177332,39.0,18.0,0.4615384615384616,1611.0,68.0,0.0422098075729361,40.0,20.0,0.5,152.0,11.0,0.0723684210526316,6.0,2.0,0.3333333333333333,273.0,25.0,0.0915750915750916,22.0,8.0,0.3636363636363637,7055.0,339.0,0.0480510276399717,582.0,269.0,0.4621993127147768,2.0,0.0,0.0,,,,1.0,0.0,0.0,,,,45.0,4.0,0.0888888888888889,27.0,19.0,0.7037037037037038,220.0,10.0,0.0454545454545455,4.0,2.0,0.5,121.0,3.0,0.0247933884297521,7.0,1.0,0.1428571428571429
