Category,value
Yuma,"1,085"
Yavapai,"1,107"
Santa Cruz,216
Pinal,"1,494"
Pima,"3,539"
Navajo,829
Mohave,"1,329"
Maricopa,"15,256"
La Paz,124
Greenlee,30
Graham,167
Gila,346
Coconino,448
Cochise,527
Apache,576
Male,15854
Female,11204
65+,19061
55-64y,4305
45-54y,2150
20-44y,1498
<20y,59
Unknown,1812
Other Race,742
"Asian or Pacific Islander, non-Hispanic",319
"Black or African American, non-Hispanic",832
"American Indian or Alaska Native, non-Hispanic",1889
Hispanic or Latino,7224
"White, non-Hispanic",14255
