Category,value
Apache,571
Cochise,510
Coconino,441
Gila,341
Graham,164
Greenlee,30
La Paz,117
Maricopa,"14,819"
Mohave,"1,285"
Navajo,815
Pima,"3,461"
Pinal,"1,447"
Santa Cruz,212
Yavapai,"1,072"
Yuma,"1,060"
Female,10899
Male,15433
20-44y,1462
45-54y,2087
55-64y,4210
65+,18528
<20y,58
"White, non-Hispanic",13902
Hispanic or Latino,7075
"American Indian or Alaska Native, non-Hispanic",1863
"Black or African American, non-Hispanic",814
"Asian or Pacific Islander, non-Hispanic",312
Other Race,718
Unknown,1661
