date,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise
1/1/2021,333,322,276,282,205,3
1/10/2021,454,458,386,391,636,6
1/11/2021,466,473,407,408,834,6
1/12/2021,472,479,412,419,1047,6
1/13/2021,491,512,434,444,1359,6
1/14/2021,496,520,447,455,1608,6
1/15/2021,501,527,457,465,2035,6
1/16/2021,516,533,465,477,2393,6
1/17/2021,519,534,468,478,2406,6
1/18/2021,522,539,475,487,2582,6
1/19/2021,539,551,487,502,2787,6
1/2/2021,334,325,279,285,208,3
1/20/2021,548,566,502,526,3165,6
1/21/2021,554,580,514,548,3544,6
1/22/2021,567,588,522,556,3712,6
1/23/2021,593,625,556,591,4070,6
1/24/2021,603,629,562,612,4142,6
1/25/2021,624,649,598,655,4331,6
1/26/2021,646,693,646,713,4546,7
1/27/2021,675,730,688,759,4929,7
1/28/2021,725,768,742,835,5542,8
1/29/2021,766,813,811,903,5909,8
1/3/2021,346,339,290,299,233,3
1/30/2021,768,818,813,908,5927,8
1/31/2021,773,821,817,915,5954,8
1/4/2021,352,348,295,301,254,3
1/5/2021,371,375,309,316,263,3
1/6/2021,392,394,327,340,280,4
1/7/2021,400,401,337,349,310,4
1/8/2021,430,434,366,372,340,5
1/9/2021,448,454,386,389,633,6
10/1/2021,12516,8518,8102,11036,22729,6082
10/10/2021,12662,8598,8191,11088,22782,6160
10/11/2021,12676,8610,8199,11093,22790,6170
10/12/2021,12696,8616,8204,11098,22793,6182
10/13/2021,12714,8634,8209,11101,22797,6194
10/14/2021,12748,8652,8228,11118,22808,6206
10/15/2021,12766,8667,8240,11132,22815,6212
10/16/2021,12798,8694,8254,11141,22819,6768
10/17/2021,12807,8696,8259,11142,22823,6775
10/18/2021,12826,8719,8271,11152,22832,6787
10/19/2021,12844,8727,8282,11164,22840,6794
10/2/2021,12524,8519,8106,11039,22730,6089
10/20/2021,12851,8739,8288,11169,22845,6799
10/21/2021,12862,8750,8296,11183,22853,6806
10/22/2021,12893,8781,8314,11195,22875,6825
10/23/2021,12904,8782,8315,11200,22884,6830
10/24/2021,12909,8783,8318,11205,22893,6831
10/25/2021,12923,8793,8329,11212,22924,6835
10/26/2021,12938,8814,8343,11220,22941,6841
10/27/2021,12953,8830,8356,11232,22967,6843
10/28/2021,12974,8844,8371,11243,23004,6854
10/29/2021,12995,8858,8385,11258,23035,6870
10/3/2021,12528,8520,8108,11039,22730,6090
10/30/2021,13000,8861,8390,11264,23042,6875
10/31/2021,13004,8863,8391,11265,23047,6875
10/4/2021,12549,8525,8124,11043,22738,6097
10/5/2021,12580,8539,8134,11051,22742,6107
10/6/2021,12601,8556,8154,11059,22752,6115
10/7/2021,12625,8568,8166,11070,22761,6132
10/8/2021,12640,8587,8181,11085,22778,6152
10/9/2021,12656,8594,8187,11087,22780,6160
11/1/2021,13023,8873,8400,11275,23074,6885
