Category,value
Apache,585
Cochise,544
Coconino,453
Gila,357
Graham,171
Greenlee,32
La Paz,134
Maricopa,"15,753"
Mohave,"1,374"
Navajo,850
Pima,"3,644"
Pinal,"1,542"
Santa Cruz,224
Yavapai,"1,141"
Yuma,"1,127"
Female,11550
Male,16366
20-44y,1531
45-54y,2189
55-64y,4442
65+,19709
<20y,60
"White, non-Hispanic",14785
Hispanic or Latino,7414
"American Indian or Alaska Native, non-Hispanic",1934
"Black or African American, non-Hispanic",859
"Asian or Pacific Islander, non-Hispanic",323
Other Race,754
Unknown,1862
