date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,915,868,660,490,255,4
1/1/2022,36065,20636,19938,22485,37737,27413
1/10/2021,1252,1207,959,720,541,8
1/10/2022,36498,20832,20128,22819,38307,28366
1/11/2021,1313,1295,1023,759,885,8
1/11/2022,36578,20863,20158,22864,38376,28445
1/12/2021,1373,1363,1096,813,1210,9
1/12/2022,36667,20897,20181,22914,38417,28527
1/13/2021,1459,1436,1172,879,1550,9
1/13/2022,36730,20926,20201,22940,38459,28662
1/14/2021,1476,1459,1199,904,1639,9
1/14/2022,36793,20955,20223,22983,38489,28779
1/15/2021,1506,1475,1220,934,1730,9
1/15/2022,36816,20970,20230,22996,38502,28810
1/16/2021,1511,1476,1224,935,1735,9
1/16/2022,36838,20983,20237,23004,38521,28832
1/17/2021,1514,1480,1225,936,1738,9
1/17/2022,36864,21001,20243,23021,38539,28902
1/18/2021,1523,1487,1235,940,1754,9
1/18/2022,36929,21025,20267,23054,38583,29045
1/19/2021,1569,1511,1268,967,1870,12
1/19/2022,36991,21062,20292,23090,38618,29171
1/2/2021,917,869,660,491,257,4
1/2/2022,36077,20644,19945,22502,37758,27423
1/20/2021,1582,1520,1278,976,1904,13
1/20/2022,37113,21123,20336,23135,38650,29282
1/21/2021,1702,1705,1460,1077,2428,17
1/21/2022,37193,21154,20373,23161,38676,29395
1/22/2021,1808,1800,1548,1154,3105,17
1/22/2022,37237,21172,20384,23167,38689,29427
1/23/2021,1840,1839,1574,1185,3142,18
1/23/2022,37268,21186,20392,23173,38694,29438
1/24/2021,1841,1841,1577,1188,3153,18
1/24/2022,37337,21215,20411,23197,38732,29550
1/25/2021,1875,1914,1639,1240,3312,18
1/25/2022,37383,21248,20433,23230,38775,29646
1/26/2021,2002,2055,1781,1379,3471,26
1/26/2022,37492,21304,20470,23266,38809,29863
1/27/2021,2141,2208,1900,1475,3684,26
1/27/2022,37570,21353,20494,23297,38837,29955
1/28/2021,2293,2358,2084,1698,4392,26
1/28/2022,37634,21379,20530,23327,38851,30067
1/29/2021,2445,2491,2247,1840,5480,28
1/29/2022,37651,21394,20545,23344,38856,30135
1/3/2021,919,870,661,491,257,4
1/3/2022,36127,20659,19960,22535,37841,27536
1/30/2021,2483,2524,2282,1912,6344,28
1/30/2022,37669,21404,20551,23351,38861,30149
1/31/2021,2484,2525,2282,1913,6361,28
1/31/2022,37714,21432,20575,23371,38891,30248
1/4/2021,973,926,705,522,297,4
1/4/2022,36186,20688,19982,22592,37977,27671
1/5/2021,1057,1023,771,568,333,5
1/5/2022,36262,20711,20009,22649,38077,27870
1/6/2021,1170,1134,871,637,405,8
1/6/2022,36323,20742,20036,22697,38162,28000
1/7/2021,1211,1176,929,674,438,8
1/7/2022,36398,20780,20068,22744,38215,28145
1/8/2021,1244,1203,955,714,529,8
1/8/2022,36426,20795,20078,22763,38232,28222
1/9/2021,1246,1204,959,718,535,8
1/9/2022,36442,20806,20092,22776,38252,28233
10/1/2021,31235,18145,17992,20020,32808,15391
10/10/2021,31678,18332,18121,20095,32898,15593
10/11/2021,31727,18360,18138,20114,32906,15619
10/12/2021,31773,18392,18149,20122,32916,15655
10/13/2021,31816,18410,18162,20128,32919,15680
10/14/2021,31882,18432,18193,20142,32932,15711
10/15/2021,31950,18456,18213,20161,32942,15730
10/16/2021,31981,18469,18223,20172,32946,15743
10/17/2021,31998,18476,18227,20175,32946,15751
10/18/2021,32053,18515,18244,20192,32958,15799
10/19/2021,32092,18536,18256,20214,32971,15832
10/2/2021,31256,18155,18003,20026,32815,15414
10/20/2021,32123,18548,18270,20229,32979,15856
10/21/2021,32180,18578,18289,20247,32997,15988
10/22/2021,32287,18625,18316,20265,33032,16169
10/23/2021,32357,18648,18325,20281,33054,16448
10/24/2021,32375,18666,18336,20291,33066,16713
10/25/2021,32450,18695,18357,20307,33110,16878
10/26/2021,32513,18735,18367,20336,33159,16894
10/27/2021,32559,18762,18401,20356,33207,16910
10/28/2021,32618,18797,18428,20392,33251,16932
10/29/2021,32736,18841,18449,20417,33300,16950
10/3/2021,31265,18161,18011,20028,32818,15424
10/30/2021,32794,18860,18459,20423,33314,16964
10/31/2021,32807,18865,18466,20429,33320,16967
10/4/2021,31309,18186,18033,20039,32828,15448
10/5/2021,31466,18225,18052,20053,32846,15477
10/6/2021,31510,18256,18069,20063,32860,15511
10/7/2021,31562,18270,18088,20074,32870,15545
10/8/2021,31621,18302,18104,20084,32884,15572
10/9/2021,31662,18321,18111,20089,32892,15586
11/1/2021,32868,18893,18491,20449,33373,17092
11/10/2021,33346,19156,18698,20688,33779,20104
11/11/2021,33394,19176,18715,20709,33807,20281
11/12/2021,33464,19210,18742,20741,33855,20585
11/13/2021,33521,19242,18756,20756,33864,21161
11/14/2021,33543,19266,18768,20772,33876,21217
11/15/2021,33634,19324,18804,20797,33938,21589
11/16/2021,33683,19360,18835,20836,34000,21771
11/17/2021,33752,19404,18864,20868,34074,22035
11/18/2021,33850,19463,18907,20906,34144,22339
11/19/2021,33964,19534,18958,20940,34189,22615
11/2/2021,32918,18918,18514,20464,33426,17154
11/20/2021,34008,19551,18979,20962,34207,22705
11/21/2021,34033,19556,18991,20971,34215,22763
11/22/2021,34106,19585,19019,21007,34263,22973
11/23/2021,34308,19636,19058,21048,34323,23280
11/24/2021,34401,19676,19088,21087,34381,23532
11/25/2021,34402,19676,19088,21087,34381,23533
11/26/2021,34440,19695,19105,21113,34413,23639
11/27/2021,34465,19714,19128,21135,34434,23723
11/28/2021,34479,19730,19142,21152,34450,23744
11/29/2021,34537,19765,19169,21185,34530,23919
11/3/2021,32989,18942,18532,20493,33475,17293
11/30/2021,34610,19808,19218,21248,34624,24116
11/4/2021,33063,18982,18555,20525,33533,17413
11/5/2021,33110,19010,18591,20554,33581,17703
11/6/2021,33140,19023,18605,20570,33594,17831
11/7/2021,33162,19028,18613,20582,33607,17918
11/8/2021,33223,19066,18644,20625,33676,18167
11/9/2021,33282,19116,18666,20659,33721,18391
12/1/2020,1,1,2,,4,
12/1/2021,34693,19847,19246,21288,34721,24340
12/10/2020,1,2,4,,5,
12/10/2021,35239,20175,19521,21698,35688,25660
12/11/2020,1,2,4,,5,
12/11/2021,35259,20191,19530,21717,35727,25755
12/12/2020,1,2,6,,5,
12/12/2021,35286,20201,19549,21729,35758,25867
12/13/2020,1,2,6,,5,
12/13/2021,35330,20222,19569,21775,35908,26017
12/14/2020,1,2,6,,5,
12/14/2021,35377,20249,19597,21840,36072,26118
12/15/2020,1,2,6,,5,
12/15/2021,35428,20280,19628,21897,36214,26216
12/16/2020,3,3,7,1,6,
12/16/2021,35491,20312,19654,21955,36355,26347
12/17/2020,9,8,9,10,10,
12/17/2021,35555,20353,19679,22005,36515,26522
12/18/2020,9,8,10,10,10,
12/18/2021,35574,20374,19690,22020,36563,26549
12/19/2020,9,8,11,10,12,
12/19/2021,35604,20386,19706,22037,36621,26565
12/2/2020,1,1,2,,4,
12/2/2021,34768,19888,19277,21333,34844,24595
12/20/2020,9,10,11,10,13,
12/20/2021,35650,20415,19734,22086,36774,26693
12/21/2020,72,49,47,28,30,
12/21/2021,35718,20459,19761,22146,36931,26821
12/22/2020,244,247,174,138,68,
12/22/2021,35769,20489,19797,22211,37084,26931
12/23/2020,429,459,339,255,113,2
12/23/2021,35815,20509,19815,22251,37188,27008
12/24/2020,488,511,397,298,120,2
12/24/2021,35823,20514,19821,22263,37220,27016
12/25/2020,488,511,397,298,120,2
12/25/2021,35823,20514,19821,22263,37221,27016
12/26/2020,511,546,413,317,126,2
12/26/2021,35837,20518,19829,22288,37266,27031
12/27/2020,511,546,413,317,127,2
12/27/2021,35889,20553,19858,22327,37384,27126
12/28/2020,650,658,496,366,155,3
12/28/2021,35951,20580,19882,22373,37503,27239
12/29/2020,744,752,553,416,189,4
12/29/2021,36010,20599,19906,22414,37604,27325
12/3/2020,1,1,3,,4,
12/3/2021,34850,19946,19319,21382,34958,24792
12/30/2020,877,849,638,471,224,4
12/30/2021,36047,20623,19927,22463,37693,27389
12/31/2020,909,865,652,485,233,4
12/31/2021,36059,20632,19934,22481,37734,27405
12/4/2020,1,1,4,,4,
12/4/2021,34935,19974,19347,21434,34997,24919
12/5/2020,1,1,4,,4,
12/5/2021,34946,19981,19355,21444,35021,24945
12/6/2020,1,1,4,,4,
12/6/2021,34997,20014,19386,21489,35149,25099
12/7/2020,1,1,4,,4,
12/7/2021,35078,20046,19417,21550,35297,25227
12/8/2020,1,1,4,,5,
12/8/2021,35138,20095,19451,21601,35413,25402
12/9/2020,1,1,4,,5,
12/9/2021,35179,20127,19489,21658,35602,25535
2/1/2021,2528,2550,2303,1938,6965,28
2/1/2022,37779,21452,20601,23392,38912,30328
2/10/2021,2861,2856,2675,2386,10114,40
2/10/2022,38233,21692,20784,23539,39055,30953
2/11/2021,2992,2975,2798,2543,11143,46
2/11/2022,38308,21722,20809,23555,39065,31019
2/12/2021,3046,3026,2858,2600,12236,47
2/12/2022,38395,21750,20818,23565,39068,31041
2/13/2021,3074,3050,2874,2635,12888,49
2/13/2022,38406,21755,20823,23570,39071,31056
2/14/2021,3079,3054,2874,2635,12894,49
2/14/2022,38444,21767,20839,23579,39086,31128
2/15/2021,3085,3057,2878,2642,12934,49
2/15/2022,38502,21789,20849,23598,39097,31190
2/16/2021,3120,3066,2892,2650,12992,52
2/16/2022,38542,21805,20861,23613,39100,31232
2/17/2021,3157,3102,2944,2712,13044,52
2/17/2022,38578,21820,20875,23620,39113,31273
2/18/2021,3184,3126,2958,2734,13178,52
2/18/2022,38666,21862,20893,23642,39122,31336
2/19/2021,3251,3200,3041,2825,13329,53
2/19/2022,38682,21868,20903,23648,39124,31356
2/2/2021,2559,2586,2336,1993,7674,32
2/2/2022,37819,21478,20620,23415,38931,30418
2/20/2021,3291,3221,3068,2859,13380,56
2/20/2022,38697,21878,20908,23650,39127,31366
2/21/2021,3292,3222,3071,2859,13389,56
2/21/2022,38726,21882,20918,23658,39133,31401
2/22/2021,3295,3225,3072,2861,13398,56
2/22/2022,38772,21897,20924,23663,39144,31438
2/23/2021,3333,3279,3109,2916,13580,60
2/23/2022,38795,21902,20928,23669,39153,31468
2/24/2021,3351,3311,3134,2960,14592,62
2/24/2022,38823,21914,20938,23672,39160,31492
2/25/2021,3419,3368,3204,3033,15595,64
2/26/2021,3478,3422,3249,3132,16608,66
2/27/2021,3509,3448,3266,3166,16985,67
2/28/2021,3529,3472,3305,3201,17109,67
2/3/2021,2682,2717,2503,2164,8385,34
2/3/2022,37887,21512,20645,23442,38957,30481
2/4/2021,2729,2760,2557,2228,8711,36
2/4/2022,37928,21542,20668,23457,38976,30568
2/5/2021,2767,2790,2589,2259,8843,38
2/5/2022,37944,21552,20680,23467,38989,30589
2/6/2021,2778,2793,2590,2264,8866,38
2/6/2022,37972,21566,20695,23476,38993,30613
2/7/2021,2779,2794,2591,2265,8883,38
2/7/2022,38046,21601,20724,23495,39010,30734
2/8/2021,2797,2819,2610,2296,8982,38
2/8/2022,38145,21630,20746,23513,39027,30799
2/9/2021,2819,2838,2645,2335,9027,38
2/9/2022,38185,21654,20765,23528,39036,30858
3/1/2021,3559,3500,3326,3235,17272,68
