date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,70,69
2020-12-18,110,40
2020-12-19,112,2
2020-12-21,149,37
2020-12-22,170,21
2020-12-23,223,53
2020-12-24,294,71
2020-12-26,322,28
2020-12-27,323,1
2020-12-28,458,135
2020-12-29,582,124
2020-12-30,739,157
2020-12-31,895,156
2021-01-01,901,6
2021-01-02,1098,197
2021-01-03,1101,3
2021-01-04,1253,152
2021-01-05,1561,308
2021-01-06,1833,272
2021-01-07,2322,489
2021-01-08,2703,381
2021-01-09,2740,37
2021-01-11,2928,188
2021-01-12,3024,96
2021-01-13,3119,95
2021-01-14,3367,248
2021-01-15,3616,249
2021-01-16,3623,7
2021-01-17,3626,3
2021-01-18,3754,128
2021-01-19,3947,193
2021-01-20,4229,282
2021-01-21,4558,329
2021-01-22,4677,119
2021-01-23,4826,149
2021-01-24,4839,13
2021-01-25,5045,206
2021-01-26,5164,119
2021-01-27,5501,337
2021-01-28,6005,504
2021-01-29,6304,299
2021-01-30,6541,237
2021-01-31,6548,7
2021-02-01,6906,358
2021-02-02,7563,657
2021-02-03,8248,685
2021-02-04,9248,1000
2021-02-05,10022,774
2021-02-06,10471,449
2021-02-07,10490,19
2021-02-08,10824,334
2021-02-09,11272,448
2021-02-10,11677,405
2021-02-11,12013,336
2021-02-12,12345,332
2021-02-13,13143,798
2021-02-14,13590,447
2021-02-15,13775,185
2021-02-16,14168,393
2021-02-17,14498,330
2021-02-18,14793,295
2021-02-19,15108,315
2021-02-20,15310,202
2021-02-21,15314,4
2021-02-22,15457,143
2021-02-23,15721,264
2021-02-24,15928,207
2021-02-25,16315,387
2021-02-26,16690,375
2021-02-27,18435,1745
2021-02-28,19320,885
2021-03-01,19572,252
2021-03-02,19927,355
2021-03-03,20245,318
2021-03-04,20965,720
2021-03-05,21223,258
2021-03-06,21609,386
2021-03-07,21620,11
2021-03-08,21838,218
2021-03-09,22122,284
2021-03-10,22432,310
2021-03-11,23714,1282
2021-03-12,24095,381
2021-03-13,25201,1106
2021-03-14,25621,420
2021-03-15,25797,176
2021-03-16,26098,301
2021-03-17,26240,142
2021-03-18,26558,318
2021-03-19,26811,253
2021-03-20,27143,332
2021-03-21,27156,13
2021-03-22,27329,173
2021-03-23,27493,164
2021-03-24,27620,127
2021-03-25,27879,259
2021-03-26,28047,168
2021-03-27,29713,1666
2021-03-28,30510,797
2021-03-29,30770,260
2021-03-30,30889,119
2021-03-31,31040,151
2021-04-01,31667,627
2021-04-02,31858,191
2021-04-03,31900,42
2021-04-04,31906,6
2021-04-05,32045,139
2021-04-06,32467,422
2021-04-07,32648,181
2021-04-08,32950,302
2021-04-09,33134,184
2021-04-10,33660,526
2021-04-11,33678,18
2021-04-12,33840,162
2021-04-13,33950,110
2021-04-14,34017,67
2021-04-15,34205,188
2021-04-16,34327,122
2021-04-17,34690,363
2021-04-18,34705,15
2021-04-19,34820,115
2021-04-20,34924,104
2021-04-21,35002,78
2021-04-22,35204,202
2021-04-23,35315,111
2021-04-24,35338,23
2021-04-25,35351,13
2021-04-26,35482,131
2021-04-27,35570,88
2021-04-28,35705,135
2021-04-29,35865,160
2021-04-30,35934,69
2021-05-01,35952,18
2021-05-02,35960,8
2021-05-03,36063,103
2021-05-04,36206,143
2021-05-05,36298,92
2021-05-06,36417,119
2021-05-07,36473,56
2021-05-08,36480,7
2021-05-09,36488,8
2021-05-10,36576,88
2021-05-11,36626,50
2021-05-12,36716,90
2021-05-13,36810,94
2021-05-14,36932,122
2021-05-15,36964,32
2021-05-16,36988,24
2021-05-17,37106,118
2021-05-18,37338,232
2021-05-19,37527,189
2021-05-20,37679,152
2021-05-21,37741,62
2021-05-22,37775,34
2021-05-23,37792,17
2021-05-24,37881,89
2021-05-25,37958,77
2021-05-26,38034,76
2021-05-27,38090,56
2021-05-28,38168,78
2021-05-29,38185,17
2021-05-30,38195,10
2021-05-31,38210,15
2021-06-01,38273,63
2021-06-02,38331,58
