Category,value
Apache,576
Cochise,526
Coconino,445
Gila,346
Graham,166
Greenlee,30
La Paz,124
Maricopa,"15,219"
Mohave,"1,327"
Navajo,828
Pima,"3,539"
Pinal,"1,491"
Santa Cruz,216
Yavapai,"1,103"
Yuma,"1,085"
Female,11182
Male,15824
20-44y,1498
45-54y,2147
55-64y,4297
65+,19020
<20y,59
"White, non-Hispanic",14234
Hispanic or Latino,7222
"American Indian or Alaska Native, non-Hispanic",1888
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",319
Other Race,741
Unknown,1786
