date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
1/1/2021,260,335,333,394,954,5
1/1/2022,7430,5363,5858,8184,16355,9884
1/10/2021,421,553,565,672,2299,29
1/10/2022,7516,5410,5902,8225,16399,10103
1/11/2021,460,601,637,727,2551,32
1/11/2022,7528,5413,5905,8230,16406,10143
1/12/2021,489,627,701,801,2816,33
1/12/2022,7538,5417,5911,8234,16413,10203
1/13/2021,512,657,731,881,3035,33
1/13/2022,7546,5422,5919,8236,16418,10243
1/14/2021,547,706,778,972,3298,41
1/14/2022,7557,5431,5928,8245,16427,10318
1/15/2021,583,754,842,1066,3587,42
1/15/2022,7561,5434,5930,8249,16427,10325
1/16/2021,587,755,843,1068,3596,42
1/16/2022,7562,5434,5931,8249,16428,10327
1/17/2021,589,756,843,1070,3598,42
1/17/2022,7562,5439,5933,8251,16433,10330
1/18/2021,600,768,870,1099,3621,42
1/18/2022,7566,5443,5933,8251,16434,10361
1/19/2021,636,796,921,1182,3794,43
1/19/2022,7578,5447,5937,8253,16442,10414
1/2/2021,260,336,333,394,955,5
1/2/2022,7433,5363,5860,8184,16355,9885
1/20/2021,672,843,990,1295,3976,49
1/20/2022,7586,5450,5939,8261,16444,10447
1/21/2021,778,937,1109,1489,4199,63
1/21/2022,7602,5460,5943,8263,16451,10488
1/22/2021,855,998,1171,1603,4345,75
1/22/2022,7604,5461,5946,8265,16453,10492
1/23/2021,862,1003,1176,1608,4469,107
1/23/2022,7606,5462,5946,8266,16456,10498
1/24/2021,863,1004,1176,1609,4481,109
1/24/2022,7612,5467,5952,8272,16464,10515
1/25/2021,881,1026,1210,1669,4615,110
1/25/2022,7618,5473,5957,8278,16469,10562
1/26/2021,926,1047,1246,1731,4758,112
1/26/2022,7620,5477,5958,8279,16473,10577
1/27/2021,960,1081,1289,1786,4934,125
1/27/2022,7631,5479,5960,8282,16477,10610
1/28/2021,1124,1173,1415,1932,5162,171
1/28/2022,7639,5487,5965,8283,16485,10627
1/29/2021,1211,1224,1492,2046,5407,223
1/29/2022,7642,5489,5965,8284,16485,10631
1/3/2021,260,336,333,395,957,5
1/3/2022,7449,5370,5866,8193,16368,9916
1/30/2021,1221,1244,1539,2078,5427,223
1/30/2022,7643,5489,5965,8284,16487,10632
1/31/2021,1221,1245,1542,2082,5438,223
1/31/2022,7649,5493,5969,8287,16492,10669
1/4/2021,277,363,355,430,1099,5
1/4/2022,7459,5379,5871,8197,16376,9956
1/5/2021,322,401,405,472,1337,5
1/5/2022,7479,5386,5878,8202,16380,9988
1/6/2021,337,428,428,509,1692,24
1/6/2022,7492,5389,5884,8206,16384,10016
1/7/2021,380,506,523,615,2082,29
1/7/2022,7498,5399,5891,8210,16388,10066
1/8/2021,420,552,564,667,2296,29
1/8/2022,7507,5405,5897,8219,16392,10071
1/9/2021,421,553,564,672,2299,29
1/9/2022,7511,5407,5899,8219,16393,10077
10/1/2021,6524,4851,5323,7556,15330,6636
10/10/2021,6588,4896,5359,7598,15406,6692
10/11/2021,6600,4906,5360,7607,15418,6705
10/12/2021,6618,4908,5364,7612,15429,6711
10/13/2021,6634,4910,5371,7618,15442,6730
10/14/2021,6647,4916,5376,7627,15456,6740
10/15/2021,6659,4927,5379,7634,15472,6753
10/16/2021,6664,4927,5380,7636,15475,6754
10/17/2021,6665,4927,5380,7638,15475,6754
10/18/2021,6678,4932,5381,7645,15486,6758
10/19/2021,6688,4938,5384,7654,15500,6766
10/2/2021,6527,4853,5325,7561,15336,6637
10/20/2021,6694,4940,5386,7660,15519,6774
10/21/2021,6702,4948,5391,7663,15531,6780
10/22/2021,6721,4958,5402,7668,15548,6790
10/23/2021,6726,4960,5403,7669,15554,6793
10/24/2021,6728,4961,5403,7671,15559,6795
10/25/2021,6737,4963,5409,7680,15582,6798
10/26/2021,6743,4969,5417,7686,15604,6808
10/27/2021,6754,4974,5423,7697,15627,6820
10/28/2021,6773,4992,5439,7716,15655,6825
10/29/2021,6790,5002,5448,7731,15679,6837
10/3/2021,6528,4853,5325,7561,15337,6637
10/30/2021,6796,5005,5452,7733,15686,6842
10/31/2021,6798,5005,5453,7734,15691,6842
10/4/2021,6536,4858,5326,7566,15350,6646
10/5/2021,6550,4866,5331,7576,15360,6654
10/6/2021,6560,4874,5338,7582,15377,6666
10/7/2021,6571,4881,5347,7592,15391,6678
10/8/2021,6582,4893,5358,7597,15406,6692
10/9/2021,6586,4894,5359,7598,15406,6692
11/1/2021,6814,5008,5462,7747,15708,6844
11/10/2021,6893,5064,5531,7812,15857,7847
11/11/2021,6900,5070,5533,7821,15865,7872
11/12/2021,6917,5078,5543,7828,15880,8033
11/13/2021,6925,5079,5544,7835,15886,8057
11/14/2021,6930,5080,5545,7838,15890,8062
11/15/2021,6948,5091,5552,7852,15909,8121
11/16/2021,6961,5099,5556,7861,15930,8170
11/17/2021,6978,5114,5574,7873,15938,8276
11/18/2021,6992,5116,5578,7878,15956,8310
11/19/2021,7009,5125,5592,7892,15968,8405
11/2/2021,6825,5019,5471,7756,15729,6849
11/20/2021,7018,5129,5596,7902,15976,8482
11/21/2021,7018,5129,5599,7904,15982,8484
11/22/2021,7029,5141,5611,7910,15995,8555
11/23/2021,7040,5147,5619,7916,16008,8596
11/24/2021,7047,5152,5627,7925,16016,8636
11/25/2021,7047,5152,5627,7925,16016,8636
11/26/2021,7060,5161,5631,7930,16026,8675
11/27/2021,7066,5161,5633,7933,16027,8685
11/28/2021,7072,5163,5633,7936,16029,8693
11/29/2021,7088,5168,5648,7947,16053,8725
11/3/2021,6830,5023,5480,7762,15750,6856
11/30/2021,7114,5187,5673,7961,16073,8776
11/4/2021,6843,5030,5488,7773,15772,6879
11/5/2021,6858,5037,5502,7782,15792,6945
11/6/2021,6864,5043,5514,7787,15814,7007
11/7/2021,6865,5048,5515,7788,15820,7023
11/8/2021,6873,5053,5520,7796,15837,7143
11/9/2021,6883,5059,5525,7805,15848,7271
12/1/2020,,2,,,,
12/1/2021,7122,5196,5686,7973,16091,8934
12/10/2020,1,2,1,1,2,1
12/10/2021,7247,5260,5761,8064,16206,9276
12/11/2020,1,2,1,1,2,1
12/11/2021,7252,5266,5763,8070,16212,9310
12/12/2020,1,2,1,1,2,1
12/12/2021,7256,5266,5766,8070,16217,9318
12/13/2020,2,2,1,1,2,1
12/13/2021,7275,5283,5774,8077,16230,9349
12/14/2020,2,2,1,3,2,1
12/14/2021,7284,5291,5784,8089,16241,9415
12/15/2020,5,7,5,4,5,1
12/15/2021,7290,5294,5790,8093,16250,9457
12/16/2020,14,17,17,15,10,1
12/16/2021,7303,5297,5800,8100,16257,9474
12/17/2020,26,44,43,42,18,1
12/17/2021,7316,5305,5807,8110,16266,9505
12/18/2020,40,69,60,60,37,1
12/18/2021,7318,5308,5809,8115,16272,9520
