,Age groups aggregated-[federated.0szwy780qoq0z219gndil05kam3w].[Age Group1 (group)]-alias,AGG(total([Total number of people (LOD) (First RECIP) ]))-alias,AGG(WINDOW_MAX([Total Population Denom]))-alias
0,<20,321467,1842004
1,20-34,725378,1480898
2,35-44,506469,881451
3,45-54,534735,851820
4,55-64,630007,868629
5,65+,1124229,1264218
