date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,21197,22632,20563,17914,11786,211
1/10/2021,34953,34740,32631,29520,28356,501
1/11/2021,36895,36551,34580,31182,32081,562
1/12/2021,39718,39234,37363,33692,39575,680
1/13/2021,42509,42149,40438,36391,48276,776
1/14/2021,45291,45189,43661,39377,57573,849
1/15/2021,48792,48426,47016,42487,66635,975
1/16/2021,50603,50004,48684,44094,71982,1023
1/17/2021,51719,51023,49759,45183,75419,1067
1/18/2021,53375,52562,51496,46913,83169,1116
1/19/2021,55419,54442,53524,49089,93186,1217
1/2/2021,23114,24325,22096,19324,12784,244
1/20/2021,57841,56954,56446,52021,105372,1349
1/21/2021,60558,59823,59781,55486,121009,1503
1/22/2021,65083,63966,64398,60342,136609,1678
1/23/2021,68399,66736,67498,63507,147091,1834
1/24/2021,69941,68129,69019,65193,154716,1889
1/25/2021,72346,70277,71621,68130,168279,1975
1/26/2021,75288,72797,74525,71381,185488,2093
1/27/2021,78420,75417,77461,74743,204351,2200
1/28/2021,81471,77998,80426,78391,225551,2352
1/29/2021,85343,81125,83784,82153,245432,2574
1/3/2021,24018,25065,22742,19870,13120,266
1/30/2021,88170,83261,86115,84622,256823,2766
1/31/2021,89078,84002,86982,85653,262774,2816
1/4/2021,25753,26699,24330,21343,14963,292
1/5/2021,27549,28339,25903,22894,17042,329
1/6/2021,29765,30287,27937,24907,20060,399
1/7/2021,31583,31909,29708,26690,23356,437
1/8/2021,33313,33466,31369,28338,25740,467
1/9/2021,34415,34298,32212,29129,27903,494
12/1/2020,29,21,24,17,28,1
12/10/2020,41,29,37,35,49,2
12/11/2020,41,32,39,40,51,2
12/12/2020,42,32,41,43,52,2
12/13/2020,43,33,43,44,54,2
12/14/2020,44,37,46,45,61,2
12/15/2020,53,48,59,58,69,2
12/16/2020,161,194,218,179,125,2
12/17/2020,791,1025,1009,831,374,9
12/18/2020,1652,2028,1848,1482,663,10
12/19/2020,2275,2743,2424,1916,859,15
12/2/2020,32,22,26,21,33,2
12/20/2020,2487,3005,2677,2127,952,17
12/21/2020,3859,4423,3934,3096,1423,26
12/22/2020,5723,6463,5737,4529,2051,35
12/23/2020,7996,9020,7970,6343,2934,53
12/24/2020,8968,9987,8780,7078,3282,56
12/25/2020,9006,10021,8807,7103,3298,56
12/26/2020,10533,11748,10235,8371,3840,70
12/27/2020,11158,12403,10837,8878,4086,81
12/28/2020,13311,14569,12831,10721,5297,106
12/29/2020,16179,17505,15551,13232,7426,154
12/3/2020,35,22,29,23,36,2
12/30/2020,19351,20833,18758,16203,9704,186
12/31/2020,21057,22496,20400,17732,11074,205
12/4/2020,35,22,31,26,37,2
12/5/2020,36,22,31,26,38,2
12/6/2020,37,22,31,27,38,2
12/7/2020,37,24,35,28,39,2
12/8/2020,38,25,35,31,40,2
12/9/2020,39,25,36,33,45,2
2/1/2021,90912,85676,88745,87927,278262,2935
2/10/2021,110473,101547,106837,111631,441493,4898
2/11/2021,113198,103758,109129,114830,464107,5278
2/12/2021,116485,106455,111970,118538,491254,5611
2/13/2021,120152,109288,114951,121920,510574,6032
